Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.0314, relres: 0.279849, relerr: 1.44602
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.3958, relres: 0.275126, relerr: 1.21407
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 16.8933, relres: 0.263824, relerr: 1.40628
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.1679, relres: 0.243541, relerr: 1.22663
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.1914, relres: 0.257845, relerr: 1.23562
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.208, relres: 0.277391, relerr: 1.48214
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.0007, relres: 0.2632, relerr: 1.10956
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.2516, relres: 0.292305, relerr: 1.46828
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 458, t: 15.8389, relres: 3.54709e-09, relerr: 1.21501e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.2645, relres: 0.210287, relerr: 0.921712
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.1186, relres: 0.261752, relerr: 1.18788
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.005, relres: 0.292045, relerr: 1.37491
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.2305, relres: 0.251759, relerr: 1.32987
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.5617, relres: 0.272723, relerr: 1.32883
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.601, relres: 0.287833, relerr: 1.40354
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.6003, relres: 0.234995, relerr: 0.928276
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.2611, relres: 0.28473, relerr: 1.19884
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.568, relres: 0.270011, relerr: 1.4647
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 16.9484, relres: 0.279248, relerr: 1.45206
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 16.8899, relres: 0.283304, relerr: 1.48128
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.5083, relres: 0.287449, relerr: 1.07956
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 51, t: 2.8134, relres: 1.27558e-08, relerr: 2.9058e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 231, t: 13.057, relres: 8.07707e-09, relerr: 1.9785e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 93, t: 5.18151, relres: 4.93688e-09, relerr: 1.00064e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 78, t: 4.28809, relres: 5.50673e-09, relerr: 1.19181e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 147, t: 8.0313, relres: 1.12314e-08, relerr: 2.30811e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 500, t: 27.547, relres: 0.417161, relerr: 1.28229
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 121, t: 6.95093, relres: 1.52948e-08, relerr: 3.33556e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 84, t: 4.7977, relres: 1.8985e-08, relerr: 4.2051e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 163, t: 9.01336, relres: 6.87394e-09, relerr: 1.45689e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 78, t: 4.35115, relres: 9.58829e-09, relerr: 1.99756e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 77, t: 4.16067, relres: 3.88141e-09, relerr: 8.1234e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 500, t: 24.9669, relres: 0.386638, relerr: 1.20541
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 500, t: 25.4536, relres: 0.413786, relerr: 1.14978
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 77, t: 4.04696, relres: 6.55949e-09, relerr: 1.27833e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 82, t: 4.68226, relres: 1.38604e-08, relerr: 2.8362e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 53, t: 2.87305, relres: 2.4015e-08, relerr: 5.1482e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 89, t: 4.82173, relres: 1.13659e-08, relerr: 2.52355e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 109, t: 5.72393, relres: 1.00013e-09, relerr: 2.12627e-09
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 58, t: 3.26408, relres: 1.3336e-08, relerr: 2.65717e-08
Kaczmarz -> cdp, rand_init, n: 256, m: 1024, iter: 80, t: 4.14591, relres: 2.03061e-09, relerr: 4.27421e-09
