Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 155, t: 5.40554, relres: 1.31061e-08, relerr: 4.24623e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.3449, relres: 0.17444, relerr: 0.661762
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.3727, relres: 0.200131, relerr: 0.907737
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 267, t: 8.16732, relres: 1.20562e-08, relerr: 4.07983e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 282, t: 8.60111, relres: 2.39057e-08, relerr: 7.52623e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 477, t: 14.5931, relres: 1.11524e-08, relerr: 3.57526e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.1271, relres: 0.224212, relerr: 0.89914
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 268, t: 9.07502, relres: 8.92969e-09, relerr: 2.96257e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.4139, relres: 0.216919, relerr: 1.04513
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 197, t: 6.51623, relres: 7.20242e-09, relerr: 2.44432e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 168, t: 5.37511, relres: 9.49071e-09, relerr: 2.92096e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.1814, relres: 0.230016, relerr: 1.07884
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 132, t: 4.61321, relres: 1.4943e-08, relerr: 4.75036e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 222, t: 7.46365, relres: 1.28229e-08, relerr: 4.00406e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 463, t: 14.1985, relres: 2.06508e-08, relerr: 6.66183e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 2.17446, relres: 4.41153e-09, relerr: 9.36931e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 45, t: 2.15922, relres: 2.13684e-08, relerr: 4.4381e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 58, t: 2.97426, relres: 4.31418e-09, relerr: 9.14318e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 44, t: 2.34666, relres: 7.00644e-09, relerr: 1.36128e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 45, t: 2.27721, relres: 9.23365e-09, relerr: 1.83591e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 45, t: 2.25712, relres: 1.40435e-08, relerr: 3.12021e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 120, t: 5.87959, relres: 4.34367e-09, relerr: 9.12651e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 48, t: 2.35403, relres: 6.08805e-09, relerr: 1.33534e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 49, t: 2.67217, relres: 1.12437e-08, relerr: 2.27841e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 50, t: 2.40137, relres: 7.31691e-09, relerr: 1.6309e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 57, t: 3.13718, relres: 1.05427e-08, relerr: 2.32771e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 2.5086, relres: 1.66439e-08, relerr: 3.62407e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 51, t: 2.47184, relres: 1.25084e-08, relerr: 2.68566e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 44, t: 2.5013, relres: 1.42969e-08, relerr: 2.78553e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 44, t: 2.15068, relres: 1.37691e-08, relerr: 2.95168e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 54, t: 2.94598, relres: 1.81679e-09, relerr: 3.78436e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 50, t: 2.88081, relres: 2.64134e-09, relerr: 5.28246e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 2.91053, relres: 6.3584e-09, relerr: 1.41897e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 48, t: 2.81766, relres: 8.99918e-09, relerr: 1.92166e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 55, t: 2.67704, relres: 7.01772e-09, relerr: 1.45702e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 49, t: 2.8133, relres: 2.06868e-09, relerr: 4.30914e-09
Kaczmarz -> cdp, eig_init, n: 256, m: 1024, iter: 44, t: 2.47308, relres: 1.63033e-08, relerr: 3.47265e-08
