Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.470116, relres: 0.545743, relerr: 1.47763
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.466332, relres: 0.484028, relerr: 1.20767
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.462209, relres: 0.518957, relerr: 1.55314
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.464179, relres: 0.543611, relerr: 1.16603
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.451437, relres: 0.478005, relerr: 1.26351
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.46178, relres: 0.575651, relerr: 1.36218
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.463346, relres: 0.442361, relerr: 1.21701
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.465883, relres: 0.371256, relerr: 1.0453
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.462875, relres: 0.525777, relerr: 1.43625
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.464118, relres: 0.350486, relerr: 0.783446
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.584835, relres: 0.562057, relerr: 1.36908
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.48755, relres: 0.655744, relerr: 1.47425
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.463826, relres: 0.508009, relerr: 1.32553
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.461608, relres: 0.50633, relerr: 1.24446
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.448729, relres: 0.450625, relerr: 1.10542
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.464403, relres: 0.459099, relerr: 1.15672
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.463469, relres: 0.500436, relerr: 1.32184
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.580688, relres: 0.514469, relerr: 1.26739
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.599148, relres: 0.519366, relerr: 1.43668
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.598971, relres: 0.518976, relerr: 1.3652
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.554327, relres: 0.60033, relerr: 1.4961
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.461877, relres: 0.541622, relerr: 1.41574
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.463071, relres: 0.54072, relerr: 1.36887
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.508823, relres: 0.496855, relerr: 1.17543
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.468237, relres: 0.54377, relerr: 1.23083
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.619806, relres: 0.492548, relerr: 1.46006
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 80, t: 0.10241, relres: 2.63296e-08, relerr: 3.71058e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 119, t: 0.19685, relres: 4.09773e-08, relerr: 5.47268e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 110, t: 0.134573, relres: 4.30326e-08, relerr: 6.33502e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 56, t: 0.070462, relres: 4.37226e-08, relerr: 6.97656e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 68, t: 0.087713, relres: 3.39059e-08, relerr: 4.72348e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 80, t: 0.107628, relres: 3.8594e-08, relerr: 6.14481e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 134, t: 0.16753, relres: 3.6016e-08, relerr: 5.37083e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 0.08007, relres: 3.53761e-08, relerr: 5.07569e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 89, t: 0.113399, relres: 4.23377e-08, relerr: 6.00063e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 52, t: 0.0802, relres: 4.49859e-08, relerr: 6.87727e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 59, t: 0.073202, relres: 3.57575e-08, relerr: 5.13009e-08
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 1024, iter: 110, t: 0.138122, relres: 4.515e-08, relerr: 7.06778e-08
