GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 310, t: 0.076589, relres: 9.26564e-09, relerr: 2.77043e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 394, t: 0.11646, relres: 9.68339e-09, relerr: 2.89565e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 770, t: 0.183401, relres: 9.36887e-09, relerr: 2.70827e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 419, t: 0.100356, relres: 9.946e-09, relerr: 2.85045e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 267, t: 0.065489, relres: 9.28164e-09, relerr: 2.68914e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 269, t: 0.083159, relres: 9.28988e-09, relerr: 2.95646e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 315, t: 0.074969, relres: 9.48041e-09, relerr: 2.89827e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 245, t: 0.062098, relres: 9.37243e-09, relerr: 2.67638e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 258, t: 0.066634, relres: 9.55661e-09, relerr: 3.1187e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 433, t: 0.106394, relres: 9.69194e-09, relerr: 2.69675e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 319, t: 0.075037, relres: 9.77456e-09, relerr: 2.61561e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 307, t: 0.100761, relres: 9.29629e-09, relerr: 2.737e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 252, t: 0.075686, relres: 9.47031e-09, relerr: 2.78523e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 266, t: 0.067847, relres: 9.25974e-09, relerr: 2.61142e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 276, t: 0.068451, relres: 9.54345e-09, relerr: 3.01674e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 259, t: 0.062995, relres: 9.98374e-09, relerr: 3.11298e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 299, t: 0.07629, relres: 9.89189e-09, relerr: 3.01371e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 292, t: 0.0879, relres: 9.38877e-09, relerr: 2.63189e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 336, t: 0.079337, relres: 9.68695e-09, relerr: 2.68266e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 332, t: 0.079436, relres: 9.38463e-09, relerr: 2.81248e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 278, t: 0.065387, relres: 9.63844e-09, relerr: 2.97881e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 253, t: 0.060388, relres: 9.37227e-09, relerr: 2.64945e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 285, t: 0.068915, relres: 9.45858e-09, relerr: 2.71493e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 275, t: 0.071822, relres: 9.48072e-09, relerr: 2.78254e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 307, t: 0.078952, relres: 9.72942e-09, relerr: 2.91641e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 264, t: 0.062742, relres: 9.85721e-09, relerr: 2.94429e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 223, t: 0.059227, relres: 9.43441e-09, relerr: 2.91194e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 279, t: 0.067626, relres: 9.58402e-09, relerr: 2.69037e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 356, t: 0.113177, relres: 9.3021e-09, relerr: 2.68192e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 332, t: 0.078997, relres: 9.30444e-09, relerr: 2.57185e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 234, t: 0.056342, relres: 9.89861e-09, relerr: 2.7313e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 243, t: 0.059707, relres: 9.77017e-09, relerr: 3.13781e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 560, t: 0.134603, relres: 9.32836e-09, relerr: 2.80679e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 1713, t: 0.408226, relres: 9.60873e-09, relerr: 3.01463e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 485, t: 0.117224, relres: 9.85296e-09, relerr: 2.90278e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 343, t: 0.083304, relres: 9.58279e-09, relerr: 2.87746e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 1038, t: 0.24904, relres: 9.94696e-09, relerr: 2.93165e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 249, t: 0.059152, relres: 9.33572e-09, relerr: 2.82344e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 238, t: 0.063313, relres: 9.67421e-09, relerr: 2.78224e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 383, t: 0.110324, relres: 9.56665e-09, relerr: 2.85482e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 277, t: 0.068495, relres: 9.9613e-09, relerr: 2.78618e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 165, t: 0.063041, relres: 9.78503e-09, relerr: 2.45372e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 167, t: 0.052047, relres: 9.33364e-09, relerr: 2.28709e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 177, t: 0.053379, relres: 9.96813e-09, relerr: 2.44845e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 157, t: 0.049171, relres: 9.76828e-09, relerr: 2.49827e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 159, t: 0.044649, relres: 9.89421e-09, relerr: 2.41565e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 158, t: 0.044248, relres: 8.94127e-09, relerr: 2.05113e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 171, t: 0.046689, relres: 9.27153e-09, relerr: 2.22258e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 173, t: 0.05191, relres: 9.61965e-09, relerr: 2.54279e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 153, t: 0.042564, relres: 9.06346e-09, relerr: 2.22388e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 156, t: 0.044294, relres: 9.73052e-09, relerr: 2.20106e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 155, t: 0.043545, relres: 9.05554e-09, relerr: 2.12403e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 289, t: 0.077972, relres: 9.17036e-09, relerr: 2.21414e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 170, t: 0.047016, relres: 9.09449e-09, relerr: 2.24663e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 144, t: 0.03969, relres: 9.285e-09, relerr: 2.28883e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 166, t: 0.045935, relres: 9.63219e-09, relerr: 2.31084e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 168, t: 0.047245, relres: 9.46187e-09, relerr: 2.33058e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 176, t: 0.049892, relres: 9.00107e-09, relerr: 2.12779e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 155, t: 0.04246, relres: 9.2372e-09, relerr: 2.36839e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 148, t: 0.047027, relres: 9.21516e-09, relerr: 2.10655e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 144, t: 0.05242, relres: 9.32605e-09, relerr: 2.28308e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 162, t: 0.064296, relres: 9.30855e-09, relerr: 2.19582e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 555, t: 0.152271, relres: 9.19612e-09, relerr: 2.06335e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 196, t: 0.080788, relres: 9.68902e-09, relerr: 2.54635e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 149, t: 0.041528, relres: 9.61184e-09, relerr: 2.24396e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 170, t: 0.046308, relres: 9.88444e-09, relerr: 2.40803e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 164, t: 0.044681, relres: 9.28305e-09, relerr: 2.13783e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 157, t: 0.042758, relres: 9.46503e-09, relerr: 2.26059e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 152, t: 0.041667, relres: 9.02439e-09, relerr: 2.1333e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 217, t: 0.058775, relres: 9.02093e-09, relerr: 2.19089e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 152, t: 0.042594, relres: 9.8601e-09, relerr: 2.24825e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 156, t: 0.043385, relres: 9.01754e-09, relerr: 2.11213e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 159, t: 0.043837, relres: 9.52289e-09, relerr: 2.22642e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 153, t: 0.041507, relres: 9.71315e-09, relerr: 2.31247e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 151, t: 0.041083, relres: 9.51909e-09, relerr: 2.36613e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 147, t: 0.042364, relres: 9.84937e-09, relerr: 2.37172e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 144, t: 0.039916, relres: 9.05573e-09, relerr: 2.08785e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 276, t: 0.076225, relres: 9.23901e-09, relerr: 2.14508e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 146, t: 0.052159, relres: 9.93198e-09, relerr: 2.26612e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 149, t: 0.042006, relres: 9.82978e-09, relerr: 2.56229e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 157, t: 0.042774, relres: 9.73635e-09, relerr: 2.62499e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 160, t: 0.044546, relres: 9.45045e-09, relerr: 2.32953e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 164, t: 0.044936, relres: 9.31012e-09, relerr: 2.25266e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 157, t: 0.043996, relres: 9.60082e-09, relerr: 2.36031e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 153, t: 0.044225, relres: 9.2414e-09, relerr: 2.25762e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 160, t: 0.04387, relres: 9.17061e-09, relerr: 2.10485e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 156, t: 0.042742, relres: 9.06024e-09, relerr: 2.32721e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 526, t: 0.144437, relres: 9.26345e-09, relerr: 2.17677e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 155, t: 0.042894, relres: 9.51488e-09, relerr: 2.26833e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 143, t: 0.038707, relres: 9.74948e-09, relerr: 2.22252e-08
GerSax -> cdp, eig_init, n: 256, m: 1280, iter: 167, t: 0.045378, relres: 9.97623e-09, relerr: 2.47051e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 128, t: 0.039755, relres: 9.34129e-09, relerr: 1.91983e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 156, t: 0.06698, relres: 8.84254e-09, relerr: 1.77531e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 122, t: 0.051213, relres: 8.86739e-09, relerr: 1.75537e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 114, t: 0.035643, relres: 9.17918e-09, relerr: 1.92598e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 116, t: 0.037219, relres: 9.06927e-09, relerr: 1.83406e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 117, t: 0.036157, relres: 8.75142e-09, relerr: 1.74988e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 139, t: 0.043898, relres: 9.15554e-09, relerr: 1.88774e-08
GerSax -> cdp, eig_init, n: 256, m: 1536, iter: 111, t: 0.053961, relres: 9.60062e-09, relerr: 1.97817e-08
