Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.594622, relres: 0.136271, relerr: 1.1834
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.669234, relres: 0.129723, relerr: 1.14591
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.588609, relres: 0.170454, relerr: 1.2827
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.745967, relres: 0.00421558, relerr: 0.0271542
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.639737, relres: 0.140906, relerr: 1.23149
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.640442, relres: 1.66592e-05, relerr: 0.000118796
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.683118, relres: 0.129766, relerr: 0.941235
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.584497, relres: 0.103416, relerr: 0.745597
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.58725, relres: 0.0835565, relerr: 0.563343
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.617632, relres: 0.121498, relerr: 1.05229
Wirtinger -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.613638, relres: 0.1488, relerr: 1.10211
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.699841, relres: 7.73161e-07, relerr: 3.43055e-06
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1667, t: 0.444067, relres: 9.95312e-09, relerr: 4.47225e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.654288, relres: 4.11882e-07, relerr: 1.77075e-06
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1577, t: 0.413035, relres: 9.95821e-09, relerr: 4.46746e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1641, t: 0.443892, relres: 9.90501e-09, relerr: 4.43349e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1545, t: 0.414309, relres: 9.96684e-09, relerr: 4.59625e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.654061, relres: 0.257443, relerr: 1.45346
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1529, t: 0.396779, relres: 9.93963e-09, relerr: 4.68271e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1681, t: 0.591481, relres: 9.98173e-09, relerr: 4.43454e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1650, t: 0.482859, relres: 9.95604e-09, relerr: 4.58267e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2046, t: 0.706011, relres: 9.93741e-09, relerr: 4.75585e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.666922, relres: 3.54382e-08, relerr: 1.56318e-07
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2018, t: 0.535938, relres: 9.94606e-09, relerr: 4.38557e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1635, t: 0.429816, relres: 9.95913e-09, relerr: 4.35326e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1532, t: 0.502843, relres: 9.93633e-09, relerr: 4.47318e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1589, t: 0.41496, relres: 9.90396e-09, relerr: 4.45737e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1795, t: 0.467184, relres: 9.92588e-09, relerr: 4.71808e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1574, t: 0.517035, relres: 9.95331e-09, relerr: 4.50171e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.640182, relres: 6.67066e-07, relerr: 2.79031e-06
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1546, t: 0.402472, relres: 9.90065e-09, relerr: 4.28747e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1647, t: 0.534271, relres: 9.93233e-09, relerr: 4.35809e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1423, t: 0.437548, relres: 9.94515e-09, relerr: 4.35784e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1558, t: 0.414376, relres: 9.94498e-09, relerr: 4.30362e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1561, t: 0.414642, relres: 9.92166e-09, relerr: 4.79019e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1585, t: 0.419941, relres: 9.97747e-09, relerr: 4.6954e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1543, t: 0.405923, relres: 9.90632e-09, relerr: 4.20491e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1540, t: 0.51697, relres: 9.90872e-09, relerr: 4.22732e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1675, t: 0.431883, relres: 9.89649e-09, relerr: 4.23821e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1860, t: 0.490231, relres: 9.99062e-09, relerr: 4.58583e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1654, t: 0.430163, relres: 9.93102e-09, relerr: 4.50737e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1583, t: 0.424216, relres: 9.94483e-09, relerr: 4.23381e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1562, t: 0.410231, relres: 9.97218e-09, relerr: 4.22737e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1696, t: 0.440078, relres: 9.93512e-09, relerr: 4.51652e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1683, t: 0.488918, relres: 9.91009e-09, relerr: 4.60759e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1460, t: 0.376202, relres: 9.9986e-09, relerr: 4.56844e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1596, t: 0.491585, relres: 9.95945e-09, relerr: 4.65758e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1489, t: 0.414976, relres: 9.95511e-09, relerr: 4.39783e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1597, t: 0.440247, relres: 9.96788e-09, relerr: 4.55341e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1735, t: 0.44742, relres: 9.9266e-09, relerr: 4.13495e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1564, t: 0.41279, relres: 9.90752e-09, relerr: 4.60333e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1601, t: 0.41227, relres: 9.98648e-09, relerr: 4.73542e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2058, t: 0.541914, relres: 9.90322e-09, relerr: 4.29914e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.659984, relres: 0.211066, relerr: 0.974458
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.661655, relres: 0.0461668, relerr: 0.169875
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.662714, relres: 3.29251e-06, relerr: 1.5217e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.657914, relres: 0.237015, relerr: 1.42185
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1372, t: 0.378437, relres: 9.97889e-09, relerr: 4.39848e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1472, t: 0.432429, relres: 9.90046e-09, relerr: 4.36044e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1949, t: 0.523746, relres: 9.93706e-09, relerr: 4.59216e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1024, iter: 1647, t: 0.428054, relres: 9.91953e-09, relerr: 4.51898e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 894, t: 0.325748, relres: 9.83771e-09, relerr: 3.55897e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 916, t: 0.33839, relres: 9.98935e-09, relerr: 3.47348e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 969, t: 0.292953, relres: 9.88299e-09, relerr: 3.3443e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 986, t: 0.2866, relres: 9.98872e-09, relerr: 3.72164e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 1003, t: 0.302301, relres: 9.90556e-09, relerr: 3.70503e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 939, t: 0.279184, relres: 9.84018e-09, relerr: 3.30123e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 969, t: 0.278638, relres: 9.90209e-09, relerr: 3.45637e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 903, t: 0.298394, relres: 9.88757e-09, relerr: 3.46913e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 987, t: 0.295462, relres: 9.95824e-09, relerr: 3.60311e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 981, t: 0.290828, relres: 9.9762e-09, relerr: 3.54518e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 879, t: 0.260813, relres: 9.88193e-09, relerr: 3.43964e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 1124, t: 0.32205, relres: 9.92895e-09, relerr: 3.39165e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 898, t: 0.265065, relres: 9.96934e-09, relerr: 3.43452e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 942, t: 0.271837, relres: 9.99073e-09, relerr: 3.58858e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 953, t: 0.271758, relres: 9.92544e-09, relerr: 3.40526e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 970, t: 0.282539, relres: 9.9267e-09, relerr: 3.51337e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 956, t: 0.290636, relres: 9.89502e-09, relerr: 3.4264e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 971, t: 0.285353, relres: 9.9509e-09, relerr: 3.74546e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 981, t: 0.346971, relres: 9.92443e-09, relerr: 3.62115e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 890, t: 0.327601, relres: 9.85019e-09, relerr: 3.49341e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 1013, t: 0.382608, relres: 9.99936e-09, relerr: 3.66509e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 2491, t: 0.723918, relres: 9.96027e-09, relerr: 3.3593e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 1004, t: 0.409279, relres: 9.8634e-09, relerr: 3.64448e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 877, t: 0.272179, relres: 9.91423e-09, relerr: 3.34604e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 918, t: 0.268652, relres: 9.87038e-09, relerr: 3.274e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 980, t: 0.287872, relres: 9.91799e-09, relerr: 3.43628e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 871, t: 0.256891, relres: 9.98514e-09, relerr: 3.41759e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 872, t: 0.249819, relres: 9.8376e-09, relerr: 3.31834e-08
Wirtinger -> cdp, eig_init, n: 256, m: 1280, iter: 1143, t: 0.336453, relres: 9.95313e-09, relerr: 3.46426e-08
