GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 517, t: 0.125372, relres: 9.46651e-09, relerr: 2.83861e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 760, t: 0.219586, relres: 9.57761e-09, relerr: 3.16582e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.605952, relres: 0.292163, relerr: 1.12167
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 1706, t: 0.448049, relres: 9.85895e-09, relerr: 3.08012e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.609779, relres: 0.340979, relerr: 1.31337
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.588434, relres: 0.303083, relerr: 1.45801
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2449, t: 0.608017, relres: 9.48421e-09, relerr: 2.80217e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.647263, relres: 0.316417, relerr: 1.33337
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.598176, relres: 0.347619, relerr: 1.35155
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.649555, relres: 0.338302, relerr: 1.44019
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.621908, relres: 0.314161, relerr: 1.33907
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.632672, relres: 0.307864, relerr: 1.29968
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.638844, relres: 0.318282, relerr: 1.39353
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.647881, relres: 0.288582, relerr: 1.20738
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.617495, relres: 0.254969, relerr: 0.904272
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2015, t: 0.483026, relres: 9.22354e-09, relerr: 2.84969e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.653273, relres: 0.339369, relerr: 1.41784
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.624319, relres: 0.31106, relerr: 1.22697
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.624942, relres: 0.316794, relerr: 1.18302
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.624901, relres: 0.308532, relerr: 1.34393
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.658681, relres: 0.305264, relerr: 1.25685
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 608, t: 0.145984, relres: 9.99679e-09, relerr: 2.96341e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.601673, relres: 0.342676, relerr: 1.36224
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.629471, relres: 0.32309, relerr: 1.31794
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.619089, relres: 0.332757, relerr: 1.36797
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.646934, relres: 0.296424, relerr: 1.26556
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 894, t: 0.243519, relres: 9.77289e-09, relerr: 2.98741e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2103, t: 0.579662, relres: 9.72361e-09, relerr: 3.01714e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 662, t: 0.157302, relres: 9.55942e-09, relerr: 2.90804e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.592636, relres: 0.323826, relerr: 1.37389
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.66198, relres: 0.296799, relerr: 1.28929
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.699807, relres: 0.334225, relerr: 1.3278
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.609143, relres: 0.328676, relerr: 1.31961
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 801, t: 0.212335, relres: 9.4882e-09, relerr: 3.05761e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 1674, t: 0.414895, relres: 9.90183e-09, relerr: 2.89577e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 907, t: 0.221713, relres: 9.36522e-09, relerr: 2.65181e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.634925, relres: 0.327071, relerr: 1.12103
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.630429, relres: 0.309368, relerr: 1.43335
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.604979, relres: 0.307662, relerr: 1.46112
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 1934, t: 0.508147, relres: 9.42311e-09, relerr: 2.81922e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 447, t: 0.113287, relres: 9.52815e-09, relerr: 2.58619e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.612836, relres: 0.0364514, relerr: 0.0786354
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.662602, relres: 0.32859, relerr: 1.44018
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.589787, relres: 0.3323, relerr: 1.19439
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 940, t: 0.221639, relres: 9.80657e-09, relerr: 3.13399e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.642955, relres: 0.337143, relerr: 1.3476
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 547, t: 0.168741, relres: 9.34665e-09, relerr: 2.87992e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 751, t: 0.180974, relres: 9.85932e-09, relerr: 2.89227e-08
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.686388, relres: 0.278841, relerr: 0.992631
GerSax -> cdp, rand_init, n: 256, m: 1024, iter: 2500, t: 0.591186, relres: 0.289534, relerr: 1.1964
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 2500, t: 0.66174, relres: 0.375621, relerr: 1.18378
GerSax -> cdp, rand_init, n: 256, m: 1280, iter: 522, t: 0.142992, relres: 9.67869e-09, relerr: 2.45325e-08
