Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.157291, relres: 0.451661, relerr: 1.17109
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.154041, relres: 0.46458, relerr: 1.21241
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.166557, relres: 0.585898, relerr: 1.32086
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.190914, relres: 0.480289, relerr: 1.28181
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.166355, relres: 0.555059, relerr: 1.42892
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.209419, relres: 0.614165, relerr: 1.45402
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.195696, relres: 0.588831, relerr: 1.29288
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.168749, relres: 0.368602, relerr: 1.06168
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.168807, relres: 0.465647, relerr: 1.3596
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.181781, relres: 0.536935, relerr: 1.34397
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 0.170548, relres: 0.564492, relerr: 1.21148
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 86, t: 0.039877, relres: 4.5063e-08, relerr: 6.72496e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 97, t: 0.044971, relres: 4.48154e-08, relerr: 7.65122e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 119, t: 0.055784, relres: 5.00664e-08, relerr: 6.81868e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 79, t: 0.032077, relres: 4.51347e-08, relerr: 7.18985e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 90, t: 0.039773, relres: 4.17775e-08, relerr: 6.00655e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 64, t: 0.031578, relres: 4.48208e-08, relerr: 6.68087e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 71, t: 0.03042, relres: 3.97738e-08, relerr: 6.3154e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 82, t: 0.037963, relres: 3.98554e-08, relerr: 5.92798e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 95, t: 0.044054, relres: 4.09924e-08, relerr: 6.43134e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 154, t: 0.06997, relres: 5.44826e-08, relerr: 8.35151e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 94, t: 0.043395, relres: 5.16814e-08, relerr: 6.85203e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 73, t: 0.034016, relres: 3.58385e-08, relerr: 5.67598e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 81, t: 0.036805, relres: 4.14877e-08, relerr: 5.35563e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 63, t: 0.029123, relres: 4.03264e-08, relerr: 5.56335e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 125, t: 0.051665, relres: 5.29215e-08, relerr: 7.89292e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 82, t: 0.035928, relres: 4.84917e-08, relerr: 7.48503e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 161, t: 0.075766, relres: 4.30763e-08, relerr: 6.86363e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 87, t: 0.035609, relres: 3.43285e-08, relerr: 5.03049e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 107, t: 0.044569, relres: 4.51326e-08, relerr: 6.50612e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 103, t: 0.048023, relres: 4.52027e-08, relerr: 6.9094e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 139, t: 0.056697, relres: 5.1768e-08, relerr: 7.38913e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 91, t: 0.038229, relres: 5.56983e-08, relerr: 8.21763e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 149, t: 0.064891, relres: 5.47406e-08, relerr: 7.97297e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 78, t: 0.034529, relres: 5.61833e-08, relerr: 8.78616e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 117, t: 0.059074, relres: 5.69185e-08, relerr: 7.91995e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 155, t: 0.083316, relres: 4.85718e-08, relerr: 6.813e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 169, t: 0.068426, relres: 5.4859e-08, relerr: 8.10345e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 125, t: 0.052055, relres: 4.96741e-08, relerr: 9.0351e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 138, t: 0.060357, relres: 3.95452e-08, relerr: 6.19356e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 79, t: 0.037638, relres: 3.82009e-08, relerr: 6.02297e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 116, t: 0.052291, relres: 4.60723e-08, relerr: 6.89957e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 102, t: 0.04643, relres: 4.40229e-08, relerr: 5.86561e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 118, t: 0.052681, relres: 4.46027e-08, relerr: 7.01677e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 68, t: 0.030856, relres: 4.1907e-08, relerr: 6.15823e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 86, t: 0.037489, relres: 4.75103e-08, relerr: 6.76202e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 85, t: 0.036441, relres: 3.78875e-08, relerr: 5.32497e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 121, t: 0.053591, relres: 5.10269e-08, relerr: 7.93486e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 110, t: 0.047498, relres: 4.35916e-08, relerr: 5.96868e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 252, t: 0.117973, relres: 4.40769e-08, relerr: 6.05241e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 92, t: 0.039114, relres: 3.49524e-08, relerr: 5.29117e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 202, t: 0.084544, relres: 4.94494e-08, relerr: 7.08178e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 112, t: 0.059228, relres: 4.73719e-08, relerr: 6.47502e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 118, t: 0.051091, relres: 4.65386e-08, relerr: 6.84028e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 97, t: 0.042379, relres: 5.23531e-08, relerr: 7.95502e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 96, t: 0.042528, relres: 5.35862e-08, relerr: 8.69436e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 67, t: 0.03693, relres: 4.31888e-08, relerr: 5.54694e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 62, t: 0.025755, relres: 4.18412e-08, relerr: 6.33715e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 103, t: 0.054623, relres: 4.13348e-08, relerr: 5.89884e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 85, t: 0.034477, relres: 4.21284e-08, relerr: 6.13705e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1024, iter: 59, t: 0.030999, relres: 6.01996e-08, relerr: 9.73348e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 42, t: 0.0236, relres: 3.32777e-08, relerr: 3.97316e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 34, t: 0.020339, relres: 3.35892e-08, relerr: 4.48309e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 48, t: 0.029255, relres: 3.34801e-08, relerr: 4.144e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 32, t: 0.018649, relres: 2.17932e-08, relerr: 2.94614e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 39, t: 0.024874, relres: 3.87065e-08, relerr: 5.04695e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 32, t: 0.018539, relres: 4.51724e-08, relerr: 6.00438e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 36, t: 0.022459, relres: 3.42342e-08, relerr: 4.45362e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 53, t: 0.027088, relres: 2.74474e-08, relerr: 3.48837e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 50, t: 0.025298, relres: 2.83832e-08, relerr: 3.77173e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 0.016544, relres: 2.3422e-08, relerr: 3.14329e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 54, t: 0.027811, relres: 3.04703e-08, relerr: 3.96834e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 0.018277, relres: 4.24141e-08, relerr: 5.41478e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 37, t: 0.018677, relres: 2.25902e-08, relerr: 2.87575e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 0.01928, relres: 3.46208e-08, relerr: 4.59283e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 42, t: 0.028315, relres: 4.41682e-08, relerr: 6.15311e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 35, t: 0.020011, relres: 2.12633e-08, relerr: 2.84647e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 43, t: 0.022131, relres: 3.88576e-08, relerr: 5.24265e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 0.017412, relres: 2.57707e-08, relerr: 3.35013e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 40, t: 0.029721, relres: 3.03383e-08, relerr: 3.99379e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 43, t: 0.025119, relres: 2.27548e-08, relerr: 2.8923e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 34, t: 0.018945, relres: 3.88985e-08, relerr: 5.22687e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 0.021062, relres: 4.10153e-08, relerr: 5.26126e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 33, t: 0.021848, relres: 3.69035e-08, relerr: 4.84798e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 38, t: 0.02171, relres: 2.19253e-08, relerr: 3.05725e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 41, t: 0.021085, relres: 2.84328e-08, relerr: 3.56208e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 41, t: 0.020862, relres: 4.14194e-08, relerr: 5.70892e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 31, t: 0.017416, relres: 3.11275e-08, relerr: 4.4081e-08
Block Kaczmarz-256 -> cdp, rand_init, n: 256, m: 1280, iter: 41, t: 0.022149, relres: 4.45516e-08, relerr: 5.4791e-08
