GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07304, relres: 0.658411, relerr: 1.30664
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.02703, relres: 0.684422, relerr: 1.19741
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.15528, relres: 0.638689, relerr: 1.16594
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.04128, relres: 0.597615, relerr: 1.31555
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.0386, relres: 0.696623, relerr: 1.28482
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.29255, relres: 0.617325, relerr: 1.27612
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.09388, relres: 0.654137, relerr: 1.26853
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.24519, relres: 0.615201, relerr: 1.25646
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.15871, relres: 0.642196, relerr: 1.16336
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.19428, relres: 0.660491, relerr: 1.21023
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07687, relres: 0.574945, relerr: 1.24734
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.61869, relres: 0.65652, relerr: 1.27485
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.08359, relres: 0.609576, relerr: 1.24359
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.12458, relres: 0.6327, relerr: 1.32008
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.04712, relres: 0.683423, relerr: 1.26397
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.318, relres: 0.677358, relerr: 1.26389
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07091, relres: 0.623569, relerr: 1.30201
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.35472, relres: 0.690549, relerr: 1.30764
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.16431, relres: 0.666679, relerr: 1.26984
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.14599, relres: 0.67937, relerr: 1.24756
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.26094, relres: 0.682981, relerr: 1.28862
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.12053, relres: 0.691091, relerr: 1.24381
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.07139, relres: 0.664925, relerr: 1.18775
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.18762, relres: 0.689595, relerr: 1.26662
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.22546, relres: 0.677232, relerr: 1.27168
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.13743, relres: 0.63835, relerr: 1.25226
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.08772, relres: 0.649765, relerr: 1.30918
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.21133, relres: 0.652066, relerr: 1.32235
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.17331, relres: 0.651949, relerr: 1.11786
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.13466, relres: 0.674143, relerr: 1.22135
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.40209, relres: 0.689, relerr: 1.31657
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.08318, relres: 0.647006, relerr: 1.25417
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.24114, relres: 0.644491, relerr: 1.22891
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.09465, relres: 0.681256, relerr: 1.25886
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.27356, relres: 0.698066, relerr: 1.24393
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.15226, relres: 0.698813, relerr: 1.30542
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.12062, relres: 0.612776, relerr: 1.31023
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.13444, relres: 0.677915, relerr: 1.12421
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.3578, relres: 0.714155, relerr: 1.21286
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.01364, relres: 0.668499, relerr: 1.25076
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.18999, relres: 0.726799, relerr: 1.30513
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.06241, relres: 0.678018, relerr: 1.24441
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.21099, relres: 0.663444, relerr: 1.21889
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.35384, relres: 0.691965, relerr: 1.27487
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.43111, relres: 0.698288, relerr: 1.29052
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.07083, relres: 0.659304, relerr: 1.29591
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.16166, relres: 0.690228, relerr: 1.29342
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.39129, relres: 0.698937, relerr: 1.25252
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.12272, relres: 0.647897, relerr: 1.20959
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.07004, relres: 0.639941, relerr: 1.25208
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.10868, relres: 0.702705, relerr: 1.30587
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.10692, relres: 0.652347, relerr: 1.2483
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.10766, relres: 0.680756, relerr: 1.19939
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.17523, relres: 0.684952, relerr: 1.22664
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.30684, relres: 0.685955, relerr: 1.17194
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.0709, relres: 0.70479, relerr: 1.29133
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.11252, relres: 0.623604, relerr: 1.2895
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.02787, relres: 0.691487, relerr: 1.31172
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.18041, relres: 0.679038, relerr: 1.26917
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.08656, relres: 0.65086, relerr: 1.2417
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.16722, relres: 0.682795, relerr: 1.23608
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.17144, relres: 0.693839, relerr: 1.25972
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.22023, relres: 0.672203, relerr: 1.28228
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.014, relres: 0.618899, relerr: 1.215
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.20175, relres: 0.676651, relerr: 1.30605
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.01336, relres: 0.681198, relerr: 1.28676
GerSax -> unitary, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.11823, relres: 0.675243, relerr: 1.26946
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.15633, relres: 0.675528, relerr: 1.29869
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.15088, relres: 0.694574, relerr: 1.31094
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.10937, relres: 0.711232, relerr: 1.24669
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.17172, relres: 0.714525, relerr: 1.28589
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.41878, relres: 0.677776, relerr: 1.21953
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.15107, relres: 0.71606, relerr: 1.2965
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.10408, relres: 0.717336, relerr: 1.22587
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.67593, relres: 0.679759, relerr: 1.28824
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.21615, relres: 0.702153, relerr: 1.30266
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.13881, relres: 0.698103, relerr: 1.2855
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.15143, relres: 0.663129, relerr: 1.28227
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.35932, relres: 0.666369, relerr: 1.3273
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.29602, relres: 0.670344, relerr: 1.29143
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.25617, relres: 0.710795, relerr: 1.27251
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.1555, relres: 0.674761, relerr: 1.27888
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.19606, relres: 0.662983, relerr: 1.31092
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.20885, relres: 0.712932, relerr: 1.24425
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.23721, relres: 0.648593, relerr: 1.23512
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.12047, relres: 0.662159, relerr: 1.18867
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.23209, relres: 0.700347, relerr: 1.28206
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.07019, relres: 0.685367, relerr: 1.21121
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.21169, relres: 0.671185, relerr: 1.21978
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.1132, relres: 0.667855, relerr: 1.30809
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.1466, relres: 0.702498, relerr: 1.31698
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.10923, relres: 0.650614, relerr: 1.2855
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.18669, relres: 0.69962, relerr: 1.32444
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.06401, relres: 0.716785, relerr: 1.2799
GerSax -> unitary, real, rand_init, n: 256, m: 674, iter: 2500, t: 1.09818, relres: 0.652406, relerr: 1.20233
