Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.8728, relres: 0.507114, relerr: 0.988735
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 22.2091, relres: 0.3589, relerr: 0.735014
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.9964, relres: 0.461322, relerr: 1.00275
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 23.3064, relres: 0.52116, relerr: 1.13743
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 22.5933, relres: 0.408506, relerr: 0.794114
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 23.4594, relres: 0.318615, relerr: 0.557862
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.3433, relres: 0.436242, relerr: 1.07022
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.6107, relres: 0.529912, relerr: 1.27737
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.5383, relres: 0.520683, relerr: 1.32586
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 10, t: 0.469778, relres: 1.0123e-15, relerr: 5.80398e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.5507, relres: 0.39593, relerr: 0.677362
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 8, t: 0.391953, relres: 1.06834e-15, relerr: 5.863e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 21.8899, relres: 0.512824, relerr: 0.959655
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 14, t: 0.661673, relres: 1.07373e-15, relerr: 5.73503e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 11, t: 0.519013, relres: 1.02419e-15, relerr: 5.97961e-16
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 21.4992, relres: 0.475927, relerr: 0.809457
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 620, iter: 500, t: 22.542, relres: 0.53423, relerr: 0.926643
