Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 51.4227, relres: 0.116592, relerr: 1.16479
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 60.4471, relres: 0.146326, relerr: 1.32682
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 57.547, relres: 0.139113, relerr: 1.25987
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.4989, relres: 0.127939, relerr: 1.29529
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.3368, relres: 0.138706, relerr: 1.10742
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 51.8826, relres: 0.129197, relerr: 1.18513
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 51.5451, relres: 0.143186, relerr: 1.26772
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.3947, relres: 0.131499, relerr: 1.25792
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.8368, relres: 0.129861, relerr: 1.2336
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.2328, relres: 0.138884, relerr: 1.29369
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 58.8193, relres: 0.110904, relerr: 1.16264
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 56.2246, relres: 0.138372, relerr: 1.20522
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 53.4017, relres: 0.148594, relerr: 1.1015
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 63.2364, relres: 0.11824, relerr: 0.990684
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.5543, relres: 0.141852, relerr: 1.09889
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 57.603, relres: 0.128943, relerr: 1.3277
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 55.7419, relres: 0.140787, relerr: 1.12355
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 57.2006, relres: 0.121699, relerr: 1.32512
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 55.5271, relres: 0.122299, relerr: 1.13865
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 51.4433, relres: 0.129774, relerr: 1.29678
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 57.3124, relres: 0.12705, relerr: 1.23153
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 55.4154, relres: 0.128576, relerr: 1.13588
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.88, relres: 0.148615, relerr: 1.30531
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.9437, relres: 0.159137, relerr: 1.21562
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 55.4004, relres: 0.123613, relerr: 1.08405
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 63.2275, relres: 0.130712, relerr: 1.33641
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 62.5415, relres: 0.142817, relerr: 1.31061
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.8974, relres: 0.114728, relerr: 1.13467
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.0409, relres: 0.144448, relerr: 1.16851
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 51.6427, relres: 0.140922, relerr: 1.25606
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.4683, relres: 0.134332, relerr: 1.27922
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.8027, relres: 0.136575, relerr: 1.27751
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.075, relres: 0.133756, relerr: 1.11094
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.8581, relres: 0.131087, relerr: 1.21557
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 53.8986, relres: 0.163101, relerr: 1.27558
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 51.1791, relres: 0.126106, relerr: 1.34053
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.6991, relres: 0.140165, relerr: 1.33786
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.4224, relres: 0.148734, relerr: 1.19343
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 59.8938, relres: 0.143922, relerr: 1.25739
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 57.3887, relres: 0.170929, relerr: 1.21828
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 57.9468, relres: 0.169337, relerr: 0.934122
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 57.3438, relres: 0.170128, relerr: 1.20081
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 60.8311, relres: 0.181902, relerr: 1.15437
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 64.0255, relres: 0.186032, relerr: 1.17133
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 62.4806, relres: 0.184806, relerr: 1.28578
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.0397, relres: 0.166816, relerr: 1.17258
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.7917, relres: 0.19288, relerr: 1.42368
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.4296, relres: 0.189809, relerr: 1.1303
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 58.7761, relres: 0.160915, relerr: 1.05259
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.4129, relres: 0.167734, relerr: 1.1768
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.4562, relres: 0.196512, relerr: 1.34829
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 57.6581, relres: 0.154492, relerr: 1.15701
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.6255, relres: 0.191723, relerr: 1.14588
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.092, relres: 0.132638, relerr: 0.863218
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 58.119, relres: 0.200173, relerr: 1.1575
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 57.6669, relres: 0.194805, relerr: 0.99267
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.3711, relres: 0.178918, relerr: 1.18082
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 59.1923, relres: 0.181553, relerr: 1.20478
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 59.6361, relres: 0.202091, relerr: 1.14999
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 57.6957, relres: 0.162854, relerr: 1.11822
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 57.1747, relres: 0.181698, relerr: 1.06647
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.7122, relres: 0.219776, relerr: 1.23203
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 59.6356, relres: 0.193465, relerr: 1.26356
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 61.5209, relres: 0.163045, relerr: 1.03921
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.1175, relres: 0.172025, relerr: 1.21552
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.7577, relres: 0.170332, relerr: 1.04943
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.1694, relres: 0.20414, relerr: 1.07357
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.7867, relres: 0.177188, relerr: 1.01033
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.8614, relres: 0.179208, relerr: 1.18932
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.3579, relres: 0.162861, relerr: 1.07111
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.0146, relres: 0.18515, relerr: 1.23847
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.1135, relres: 0.156909, relerr: 0.988476
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.7867, relres: 0.188881, relerr: 0.988788
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.4781, relres: 0.161029, relerr: 0.982994
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.3646, relres: 0.185893, relerr: 1.34843
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.2668, relres: 0.181966, relerr: 1.03659
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.8511, relres: 0.16954, relerr: 1.01186
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.1515, relres: 0.179962, relerr: 1.08383
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.9675, relres: 0.201204, relerr: 1.22011
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 53.7696, relres: 0.184079, relerr: 1.16583
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.9423, relres: 0.184971, relerr: 1.12377
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.3024, relres: 0.171599, relerr: 1.33119
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.9631, relres: 0.173621, relerr: 0.972609
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.6895, relres: 0.187534, relerr: 1.30475
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 56.3956, relres: 0.21391, relerr: 1.09491
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.2897, relres: 0.177362, relerr: 1.24103
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.3163, relres: 0.177695, relerr: 1.2419
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 55.8668, relres: 0.187278, relerr: 1.14806
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 674, iter: 500, t: 54.9378, relres: 0.183663, relerr: 1.19565
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 728, iter: 500, t: 61.0718, relres: 0.198897, relerr: 0.834486
