GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.28921, relres: 0.0635789, relerr: 1.31802
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.95621, relres: 0.0585056, relerr: 1.25373
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.19595, relres: 0.0709018, relerr: 1.33793
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.47862, relres: 0.0632319, relerr: 1.12989
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 6.18265, relres: 0.0687875, relerr: 1.23511
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.09879, relres: 0.056255, relerr: 1.12995
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.52051, relres: 0.069302, relerr: 1.23739
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 3.87583, relres: 0.0610815, relerr: 1.2575
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 3.81363, relres: 0.0571747, relerr: 1.21244
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 3.94558, relres: 0.0669203, relerr: 1.15391
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.02663, relres: 0.0675174, relerr: 1.21793
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.46734, relres: 0.0599427, relerr: 1.27571
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.20842, relres: 0.0703569, relerr: 1.22904
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.05855, relres: 0.0668144, relerr: 1.12098
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.9344, relres: 0.0629086, relerr: 1.13123
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.8092, relres: 0.0575535, relerr: 1.22734
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.19603, relres: 0.0738281, relerr: 1.15918
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.0552, relres: 0.0530674, relerr: 1.12923
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.7784, relres: 0.0602525, relerr: 1.26941
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.91636, relres: 0.0667694, relerr: 1.19065
