Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.91738, relres: 0.495038, relerr: 1.16598
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 10.28, relres: 0.486988, relerr: 0.877286
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.17803, relres: 0.50761, relerr: 0.993348
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.19225, relres: 0.540962, relerr: 1.10066
Wirtinger -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 9.53246, relres: 0.512726, relerr: 1.01324
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 11.1016, relres: 0.517468, relerr: 0.946917
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.20988, relres: 0.508763, relerr: 1.03022
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 11.3001, relres: 0.501477, relerr: 0.9975
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 11.5125, relres: 0.528247, relerr: 1.05407
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.4543, relres: 0.543604, relerr: 1.05274
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 11.5823, relres: 0.468701, relerr: 1.07876
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.09965, relres: 0.505393, relerr: 1.01154
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.2433, relres: 0.497957, relerr: 1.01231
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.02421, relres: 0.494732, relerr: 0.981183
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.0526, relres: 0.486007, relerr: 1.03369
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.6604, relres: 0.479889, relerr: 0.970986
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.3594, relres: 0.492838, relerr: 1.03118
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.8682, relres: 0.522963, relerr: 0.969683
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.7313, relres: 0.485462, relerr: 1.03463
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.0974, relres: 0.560417, relerr: 1.02329
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.95085, relres: 0.575161, relerr: 0.978752
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.53, relres: 0.485027, relerr: 1.00279
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.2608, relres: 0.475103, relerr: 0.894013
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 10.0356, relres: 0.487468, relerr: 0.940144
Wirtinger -> unitary, complex, eig_init, n: 256, m: 620, iter: 2500, t: 9.83179, relres: 0.502776, relerr: 1.00871
