GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.52987, relres: 0.0787635, relerr: 1.35245
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 7.26945, relres: 0.0754959, relerr: 1.28992
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.67443, relres: 0.0633469, relerr: 1.26673
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.20685, relres: 0.0790882, relerr: 1.24881
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.10778, relres: 0.0610927, relerr: 1.37536
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.56959, relres: 0.068786, relerr: 1.28187
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.59896, relres: 0.0704294, relerr: 1.35507
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.33001, relres: 0.0831091, relerr: 1.31048
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.87042, relres: 0.0775024, relerr: 1.24824
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.71693, relres: 0.0566186, relerr: 1.27761
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.11426, relres: 0.07564, relerr: 1.3391
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.66082, relres: 0.074309, relerr: 1.22492
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.9435, relres: 0.0741555, relerr: 1.25689
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.70169, relres: 0.0931777, relerr: 1.3783
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.56273, relres: 0.0671864, relerr: 1.38672
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.6189, relres: 0.067885, relerr: 1.32015
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.0024, relres: 0.0712861, relerr: 1.32034
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.68933, relres: 0.060386, relerr: 1.20749
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.77447, relres: 0.0750837, relerr: 1.32747
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.76963, relres: 0.0612175, relerr: 1.37603
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.55634, relres: 0.0691707, relerr: 1.38231
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.99021, relres: 0.0754491, relerr: 1.33305
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.00854, relres: 0.0663477, relerr: 1.3754
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.26433, relres: 0.0743375, relerr: 1.22198
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.10747, relres: 0.084402, relerr: 1.36432
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.82814, relres: 0.0548755, relerr: 1.29526
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.91118, relres: 0.0650791, relerr: 1.30404
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.97726, relres: 0.0623082, relerr: 1.26469
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.90811, relres: 0.072005, relerr: 1.37295
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.28612, relres: 0.0609925, relerr: 1.33311
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.32702, relres: 0.0559668, relerr: 1.31778
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.4186, relres: 0.0541356, relerr: 1.33041
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.95772, relres: 0.0805297, relerr: 1.34973
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.54029, relres: 0.0738352, relerr: 1.39651
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 5.93724, relres: 0.109917, relerr: 1.31683
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 6.50102, relres: 0.116806, relerr: 1.25358
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 6.06963, relres: 0.107558, relerr: 1.18734
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 6.32044, relres: 0.0925545, relerr: 1.37157
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 6.73507, relres: 0.112024, relerr: 1.36215
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 6.722, relres: 0.103079, relerr: 1.33651
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.99179, relres: 0.11008, relerr: 1.2746
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 5.36685, relres: 0.119278, relerr: 1.24773
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.95047, relres: 0.10898, relerr: 1.37124
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.14899, relres: 0.119, relerr: 1.34786
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.75566, relres: 0.0954015, relerr: 1.20048
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.47871, relres: 0.120051, relerr: 1.38152
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.29198, relres: 0.094157, relerr: 1.28204
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.38374, relres: 0.110149, relerr: 1.24987
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.50263, relres: 0.107113, relerr: 1.3829
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.36944, relres: 0.110323, relerr: 1.37178
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.95221, relres: 0.125744, relerr: 1.3337
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.32402, relres: 0.108922, relerr: 1.3494
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.92978, relres: 0.117292, relerr: 1.32785
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.31451, relres: 0.112408, relerr: 1.36005
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.48218, relres: 0.115083, relerr: 1.3499
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.72587, relres: 0.10885, relerr: 1.16548
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 5.32115, relres: 0.109677, relerr: 1.22041
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 5.4997, relres: 0.126933, relerr: 1.26609
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 5.68975, relres: 0.0962912, relerr: 1.28028
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 5.92168, relres: 0.100197, relerr: 1.17557
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.60022, relres: 0.112995, relerr: 1.31833
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.31895, relres: 0.121878, relerr: 1.38106
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.33608, relres: 0.113919, relerr: 1.3921
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.39131, relres: 0.0966825, relerr: 1.18033
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.29578, relres: 0.104161, relerr: 1.28289
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.31208, relres: 0.112478, relerr: 1.38658
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.50594, relres: 0.104756, relerr: 1.39045
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.35708, relres: 0.116467, relerr: 1.25522
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.35282, relres: 0.111992, relerr: 1.3614
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.33574, relres: 0.101736, relerr: 1.26302
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.77068, relres: 0.106951, relerr: 1.36312
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.12593, relres: 0.123349, relerr: 1.34297
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.89769, relres: 0.107833, relerr: 1.25431
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.41428, relres: 0.109366, relerr: 1.22062
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.33544, relres: 0.108971, relerr: 1.25014
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.42496, relres: 0.117445, relerr: 1.37693
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.381, relres: 0.128561, relerr: 1.21189
GerSax -> unitary, complex, rand_init, n: 256, m: 620, iter: 2500, t: 4.34442, relres: 0.127881, relerr: 1.24234
