Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 49.8429, relres: 0.0938196, relerr: 1.29079
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 62.9486, relres: 0.0894529, relerr: 1.22326
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 60.3243, relres: 0.0981219, relerr: 1.27114
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 62.4692, relres: 0.0908034, relerr: 1.30706
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 59.1588, relres: 0.0878537, relerr: 1.36565
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 58.4749, relres: 0.0953299, relerr: 1.3501
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 61.579, relres: 0.104204, relerr: 1.40884
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 59.5736, relres: 0.0651112, relerr: 1.28514
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 53.5211, relres: 0.104342, relerr: 1.33628
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 53.0069, relres: 0.0985408, relerr: 1.36325
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 53.6674, relres: 0.0970862, relerr: 1.30476
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 58.2256, relres: 0.0917878, relerr: 1.35482
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 53.2796, relres: 0.0941948, relerr: 1.31141
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 58.7444, relres: 0.109544, relerr: 1.25954
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 54.1468, relres: 0.0937183, relerr: 1.35899
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 53.8432, relres: 0.0927402, relerr: 1.40482
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 52.4952, relres: 0.0926092, relerr: 1.29046
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 53.7949, relres: 0.0877134, relerr: 1.27532
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 56.536, relres: 0.0875714, relerr: 1.31294
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 54.0385, relres: 0.095406, relerr: 1.31131
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 53.4974, relres: 0.0887718, relerr: 1.27466
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 53.0151, relres: 0.0788019, relerr: 1.35212
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 59.7963, relres: 0.105904, relerr: 1.35417
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 55.9551, relres: 0.0809598, relerr: 1.37807
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 76.2682, relres: 0.0966364, relerr: 1.31038
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 100.027, relres: 0.0918714, relerr: 1.33533
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 62.4584, relres: 0.0764542, relerr: 1.24992
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 96.5203, relres: 0.0933359, relerr: 1.32418
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 68.6645, relres: 0.100515, relerr: 1.28301
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 61.6827, relres: 0.105095, relerr: 1.2868
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 62.1711, relres: 0.104412, relerr: 1.28883
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 58.4881, relres: 0.0928401, relerr: 1.324
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 62.4074, relres: 0.0671413, relerr: 1.33707
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 60.95, relres: 0.118529, relerr: 1.31274
