Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.12372, relres: 0.42807, relerr: 0.876078
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.13587, relres: 0.383382, relerr: 0.779347
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.1287, relres: 0.513386, relerr: 1.17839
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.09682, relres: 0.442782, relerr: 1.08014
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.13985, relres: 0.477548, relerr: 0.673405
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.12608, relres: 0.427245, relerr: 1.1628
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.11667, relres: 0.513444, relerr: 0.999222
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 4.10418, relres: 0.495256, relerr: 0.8919
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.21888, relres: 0.430911, relerr: 0.919331
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.16414, relres: 0.46944, relerr: 1.0629
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.14644, relres: 0.481939, relerr: 0.992398
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.47254, relres: 0.468886, relerr: 1.05089
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.47758, relres: 0.429328, relerr: 0.79814
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.54503, relres: 0.492464, relerr: 1.23649
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.44993, relres: 0.477094, relerr: 1.19812
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.41651, relres: 0.438403, relerr: 0.988603
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.42165, relres: 0.429523, relerr: 0.988041
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.76211, relres: 0.543161, relerr: 1.15672
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.77009, relres: 0.443351, relerr: 0.661645
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.56276, relres: 0.474609, relerr: 0.926999
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.6138, relres: 0.418454, relerr: 0.660663
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.46203, relres: 0.335867, relerr: 0.563913
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.41912, relres: 0.357238, relerr: 0.621027
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.75427, relres: 0.263962, relerr: 0.4545
