GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08413, relres: 0.719751, relerr: 1.06168
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02037, relres: 0.960159, relerr: 1.03398
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09428, relres: 0.683187, relerr: 1.05399
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.19183, relres: 0.804216, relerr: 1.24247
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.18058, relres: 0.797867, relerr: 0.93992
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08561, relres: 0.931059, relerr: 1.30836
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.10788, relres: 0.806848, relerr: 1.25865
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.06997, relres: 0.756577, relerr: 1.06758
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.16109, relres: 0.694311, relerr: 1.04545
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09891, relres: 0.905494, relerr: 1.2837
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.23906, relres: 0.721431, relerr: 0.932922
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.11266, relres: 0.76423, relerr: 1.07403
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.29531, relres: 0.826372, relerr: 0.93551
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.25672, relres: 0.917586, relerr: 0.842763
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.15209, relres: 0.681536, relerr: 0.905755
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.15795, relres: 0.56978, relerr: 0.744355
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.24548, relres: 0.74318, relerr: 0.84403
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.05208, relres: 0.848055, relerr: 1.07614
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.3233, relres: 0.806712, relerr: 0.971131
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.46605, relres: 0.645974, relerr: 0.791704
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.67467, relres: 0.90349, relerr: 0.98718
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08814, relres: 0.672714, relerr: 1.01313
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.18318, relres: 0.791206, relerr: 1.19079
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.23816, relres: 0.622467, relerr: 0.840607
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.15132, relres: 0.705555, relerr: 0.900076
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.22707, relres: 0.698864, relerr: 0.84764
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.15638, relres: 0.755507, relerr: 0.992133
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.23771, relres: 0.695739, relerr: 0.923604
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.13771, relres: 0.79129, relerr: 0.873144
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.21733, relres: 0.71321, relerr: 0.807792
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.08502, relres: 0.673188, relerr: 0.984392
GerSax -> unitary, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.23135, relres: 0.778222, relerr: 0.937348
