Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.3032, relres: 0.615717, relerr: 1.31116
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.2608, relres: 0.537435, relerr: 1.36031
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.0948, relres: 0.578137, relerr: 1.32997
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 21.3464, relres: 0.550579, relerr: 1.26772
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.6277, relres: 0.573513, relerr: 1.23807
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.872, relres: 0.59747, relerr: 1.32805
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.2987, relres: 0.539855, relerr: 1.32301
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.3777, relres: 0.556414, relerr: 1.39452
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4685, relres: 0.531963, relerr: 1.37741
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 22.3499, relres: 0.566671, relerr: 1.25017
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.0105, relres: 0.54096, relerr: 1.35127
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.1706, relres: 0.532027, relerr: 1.234
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.3332, relres: 0.561424, relerr: 1.43602
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 19.68, relres: 0.602785, relerr: 1.32922
Block Kaczmarz-256 -> unitary, real, rand_init, n: 256, m: 566, iter: 500, t: 20.2252, relres: 0.582048, relerr: 1.1746
