Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 278, t: 345.091, relres: 4.48616e-10, relerr: 6.73798e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 29, t: 70.7813, relres: 7.80183e-11, relerr: 8.87152e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 28, t: 68.4912, relres: 5.09649e-11, relerr: 5.79842e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 28, t: 69.2317, relres: 4.57837e-11, relerr: 5.20736e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 27, t: 68.4117, relres: 5.28024e-11, relerr: 6.01044e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 27, t: 65.262, relres: 1.87962e-10, relerr: 2.14032e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 27, t: 66.2186, relres: 1.88298e-10, relerr: 2.14362e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 28, t: 69.2927, relres: 6.90537e-11, relerr: 7.85574e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 28, t: 68.4882, relres: 8.41798e-11, relerr: 9.57613e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 28, t: 68.9418, relres: 6.8564e-11, relerr: 7.80018e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 29, t: 70.4392, relres: 7.58398e-11, relerr: 8.62607e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 28, t: 68.0079, relres: 8.77904e-11, relerr: 9.97548e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 32, t: 80.1159, relres: 7.01096e-11, relerr: 7.97439e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 27, t: 64.698, relres: 1.57048e-10, relerr: 1.78607e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 29, t: 69.5376, relres: 9.74674e-11, relerr: 1.10848e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 29, t: 70.0717, relres: 8.57995e-11, relerr: 9.75356e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 27, t: 64.2187, relres: 1.84703e-10, relerr: 2.10148e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 28, t: 68.9394, relres: 8.22883e-11, relerr: 9.36345e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 27, t: 65.6501, relres: 2.00482e-10, relerr: 2.28168e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 31, t: 75.0628, relres: 1.91031e-10, relerr: 2.17376e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 31, t: 73.6836, relres: 5.89359e-11, relerr: 6.70537e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 28, t: 67.691, relres: 6.74112e-11, relerr: 7.67057e-11
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 28, t: 67.57, relres: 1.88863e-10, relerr: 2.14777e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 27, t: 65.6868, relres: 1.65041e-10, relerr: 1.8771e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 26, t: 62.8021, relres: 1.68715e-10, relerr: 1.91939e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 29, t: 72.7702, relres: 5.41387e-11, relerr: 6.15918e-11
