Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.97135, relres: 6.27415e+07, relerr: 417.706
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 3.00074, relres: 5.39851e+07, relerr: 387.15
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.97254, relres: 1.79727e+08, relerr: 706.544
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.97544, relres: 1.08348e+08, relerr: 548.921
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 2.97768, relres: 1.57402e+08, relerr: 660.611
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.98003, relres: 1.1206e+07, relerr: 176.593
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.99298, relres: 1.72857e+08, relerr: 692.806
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 2.97254, relres: 1.79704e+08, relerr: 706.513
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.98268, relres: 1.7136e+08, relerr: 689.987
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.98453, relres: 6.54616e+07, relerr: 426.786
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 2.98536, relres: 6.82448e+06, relerr: 151.115
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 2, t: 2.97309, relres: 2.65689e+06, relerr: 85.9262
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 2, t: 2.9884, relres: 1.48603e+08, relerr: 642.589
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 2, t: 2.97554, relres: 4.74122e+07, relerr: 362.928
