GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 306, t: 687.623, relres: 0.767711, relerr: 1.37681
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 784, t: 1764.53, relres: 8.78038e-11, relerr: 1.58712e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 297, t: 665.711, relres: 0.74226, relerr: 1.36352
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 810, t: 1835.18, relres: 9.13166e-11, relerr: 1.65036e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 654, t: 1465.83, relres: 8.61544e-11, relerr: 1.55622e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 456, t: 1034.45, relres: 1.0027, relerr: 1.34558
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 941, t: 2132.12, relres: 9.01204e-11, relerr: 1.6289e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 200, t: 451.166, relres: 0.555233, relerr: 1.37548
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 271, t: 613.965, relres: 0.719859, relerr: 1.3804
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 561, t: 1258.85, relres: 1.2223, relerr: 1.32042
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 789, t: 1775.58, relres: 9.70576e-11, relerr: 1.75336e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 129, t: 573.472, relres: 7.5018e-11, relerr: 1.06152e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 134, t: 597.327, relres: 7.55087e-11, relerr: 1.06868e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 101, t: 450.73, relres: 8.80848e-11, relerr: 1.24599e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 1, iter: 236, t: 1053.32, relres: 8.1342e-11, relerr: 1.15196e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 2, iter: 282, t: 1257.88, relres: 7.50083e-11, relerr: 1.06243e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 33177600, mode: 3, iter: 267, t: 1192.29, relres: 8.19845e-11, relerr: 1.1607e-10
