Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 178, t: 5.59307, relres: 4.51102e-08, relerr: 6.72875e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 213, t: 6.62612, relres: 4.23066e-08, relerr: 6.3155e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 192, t: 6.06806, relres: 5.44934e-08, relerr: 8.20003e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 219, t: 6.78206, relres: 4.67668e-08, relerr: 7.03833e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 180, t: 5.72005, relres: 4.76554e-08, relerr: 7.15764e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 186, t: 5.86836, relres: 5.68448e-08, relerr: 8.52105e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 217, t: 6.70343, relres: 4.91326e-08, relerr: 7.35881e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 217, t: 6.90672, relres: 5.66383e-08, relerr: 8.46481e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 211, t: 6.60944, relres: 4.82078e-08, relerr: 7.16759e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 180, t: 5.66901, relres: 5.02481e-08, relerr: 7.54362e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 205, t: 6.4248, relres: 5.28606e-08, relerr: 7.92553e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 201, t: 6.34729, relres: 5.72255e-08, relerr: 8.56668e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 186, t: 5.84855, relres: 4.37228e-08, relerr: 6.56857e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 206, t: 6.53551, relres: 4.33364e-08, relerr: 6.48275e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 280, t: 8.60613, relres: 4.68372e-08, relerr: 7.01202e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 170, t: 5.29499, relres: 5.29446e-08, relerr: 7.92563e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 186, t: 5.84165, relres: 5.10207e-08, relerr: 7.69119e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 195, t: 6.27561, relres: 4.2994e-08, relerr: 6.47156e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 183, t: 5.67647, relres: 4.66592e-08, relerr: 6.99536e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 185, t: 5.91326, relres: 4.90411e-08, relerr: 7.31139e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 194, t: 6.10386, relres: 4.80219e-08, relerr: 7.24144e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 49, t: 2.07981, relres: 3.03636e-08, relerr: 4.01282e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 52, t: 2.20715, relres: 3.75696e-08, relerr: 4.99103e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 51, t: 2.02896, relres: 2.61292e-08, relerr: 3.45548e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 46, t: 1.84425, relres: 3.07633e-08, relerr: 4.05585e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 53, t: 2.14352, relres: 2.66227e-08, relerr: 3.51593e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 327680, iter: 52, t: 2.05477, relres: 2.75863e-08, relerr: 3.64848e-08
