Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4933, relres: 0.532432, relerr: 1.50822
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4815, relres: 0.52959, relerr: 1.50346
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5088, relres: 0.529977, relerr: 1.49918
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5591, relres: 0.525782, relerr: 1.49649
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4775, relres: 0.52975, relerr: 1.50086
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.9009, relres: 0.527992, relerr: 1.49308
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5232, relres: 0.530035, relerr: 1.49169
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5484, relres: 0.529451, relerr: 1.49782
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5783, relres: 0.529708, relerr: 1.50481
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5078, relres: 0.534378, relerr: 1.48679
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 13.9368, relres: 0.52973, relerr: 1.49712
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5405, relres: 0.532997, relerr: 1.48787
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6555, relres: 0.530624, relerr: 1.48803
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 12.6993, relres: 0.531935, relerr: 1.49193
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.565, relres: 0.531582, relerr: 1.50662
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5391, relres: 0.529793, relerr: 1.49121
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.491, relres: 0.529207, relerr: 1.4899
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6305, relres: 0.531118, relerr: 1.50648
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 263, t: 8.49899, relres: 4.95205e-08, relerr: 7.45001e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 210, t: 6.55161, relres: 4.55878e-08, relerr: 6.88138e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 199, t: 6.25823, relres: 4.75034e-08, relerr: 7.12493e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 309, t: 9.49895, relres: 4.54308e-08, relerr: 6.80376e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 224, t: 7.06811, relres: 5.33311e-08, relerr: 7.98822e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 204, t: 6.32355, relres: 4.51659e-08, relerr: 6.82778e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 193, t: 6.02163, relres: 4.69896e-08, relerr: 7.02752e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 197, t: 6.17841, relres: 4.21319e-08, relerr: 6.30013e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 344, t: 10.6282, relres: 4.99371e-08, relerr: 7.56307e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 203, t: 6.41479, relres: 4.68347e-08, relerr: 7.03563e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 263, t: 8.29657, relres: 5.23864e-08, relerr: 7.88077e-08
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 262144, iter: 186, t: 5.75575, relres: 5.34301e-08, relerr: 7.98929e-08
