Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.0433, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.4039, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.1758, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.7178, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 85.4209, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.9438, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.8329, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.8375, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.228, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.6415, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.919, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.9607, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.8954, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.7465, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.5466, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 85.1622, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 85.2429, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.5016, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.2888, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.3649, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.4532, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.623, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.8892, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.7117, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.0165, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.3809, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.16, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.4034, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.1797, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.669, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 110.303, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 110.384, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.317, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.133, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.817, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.027, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.28, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.595, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.163, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.116, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.427, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 110.824, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.172, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.732, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 110.102, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.456, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.229, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 107.713, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.269, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 107.071, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.453, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 110.379, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.066, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.344, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.66, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.061, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 110.14, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 111.071, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.42, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.634, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.632, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 111.186, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 109.803, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 2500, t: 108.751, relres: NaN, relerr: NaN
