Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.9867, relres: 0.000226325, relerr: 0.000265617
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.7574, relres: 0.000241543, relerr: 0.00028346
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 31.741, relres: 0.000255048, relerr: 0.000284513
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.9027, relres: 0.000229114, relerr: 0.000245697
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 31.5436, relres: 0.000315227, relerr: 0.000337666
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.9612, relres: 0.000211012, relerr: 0.000237658
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 31.7755, relres: 0.000265011, relerr: 0.000309937
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.8425, relres: 0.000255426, relerr: 0.000279464
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 33.1945, relres: 0.000236067, relerr: 0.000259943
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 33.2857, relres: 0.000109712, relerr: 0.000123808
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 33.6347, relres: 0.000128983, relerr: 0.000148186
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 32.3294, relres: 0.000130038, relerr: 0.000143508
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 32.7931, relres: 0.000282762, relerr: 0.000350897
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 36.3467, relres: 0.00014199, relerr: 0.00015969
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 32.6971, relres: 0.000120322, relerr: 0.000139106
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 34.5753, relres: 0.000150663, relerr: 0.000171498
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 33.1619, relres: 0.000120052, relerr: 0.000140227
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 37.18, relres: 0.000150745, relerr: 0.000169145
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 32.3654, relres: 0.000117773, relerr: 0.000146731
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 34.1496, relres: 2.20916e-05, relerr: 2.44075e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 32.8074, relres: 3.04534e-05, relerr: 3.37192e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 34.1216, relres: 2.7578e-05, relerr: 3.17545e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 32.9987, relres: 4.69597e-05, relerr: 6.12251e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 33.9707, relres: 2.00215e-05, relerr: 2.16321e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 32.8469, relres: 3.37668e-05, relerr: 3.77482e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 34.2681, relres: 2.84215e-05, relerr: 2.99834e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 33.0711, relres: 3.71697e-05, relerr: 4.03208e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 34.8461, relres: 2.71231e-05, relerr: 3.15556e-05
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 33.1831, relres: 2.42803e-05, relerr: 2.77094e-05
