Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 109, t: 0.323998, relres: 0.000499289, relerr: 0.00048394
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 102, t: 0.298998, relres: 0.000498032, relerr: 0.000449632
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 131, t: 0.388798, relres: 9.89702e-05, relerr: 8.28651e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 139, t: 0.412511, relres: 9.96714e-05, relerr: 0.000107233
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 131, t: 0.389722, relres: 9.91231e-05, relerr: 9.30891e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 123, t: 0.364136, relres: 9.92933e-05, relerr: 9.36901e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 130, t: 0.388998, relres: 9.94803e-05, relerr: 9.94536e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 122, t: 0.361999, relres: 9.93213e-05, relerr: 8.9846e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 134, t: 0.395794, relres: 9.93598e-05, relerr: 8.63574e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 130, t: 0.375783, relres: 9.89618e-05, relerr: 9.05366e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 128, t: 0.379364, relres: 9.97901e-05, relerr: 7.91184e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 124, t: 0.37334, relres: 9.87407e-05, relerr: 9.78316e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 142, t: 0.419106, relres: 4.98341e-05, relerr: 4.57113e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 134, t: 0.395041, relres: 4.98033e-05, relerr: 4.54651e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 141, t: 0.440198, relres: 4.97092e-05, relerr: 4.39796e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 127, t: 0.436673, relres: 4.95142e-05, relerr: 4.18997e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 129, t: 0.431413, relres: 4.99737e-05, relerr: 4.37152e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 126, t: 0.89212, relres: 4.98637e-05, relerr: 4.60465e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 137, t: 0.642473, relres: 4.94703e-05, relerr: 4.23737e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 138, t: 0.647054, relres: 4.99693e-05, relerr: 5.50864e-05
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 128, t: 0.532596, relres: 4.99586e-05, relerr: 4.70593e-05
