Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 49.7529, relres: 0.0352558, relerr: 0.036123
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 56.8994, relres: 0.0353075, relerr: 0.0362721
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 50.6178, relres: 0.0352745, relerr: 0.0361504
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 49.8084, relres: 0.0352727, relerr: 0.0362371
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 49.0471, relres: 0.0187668, relerr: 0.0193141
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 48.299, relres: 0.0186832, relerr: 0.0192813
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 48.0738, relres: 0.0186723, relerr: 0.0193071
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 56.2465, relres: 0.0186652, relerr: 0.0192549
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 53.8594, relres: 0.0185369, relerr: 0.0191298
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 53.4434, relres: 0.0187275, relerr: 0.0192818
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 53.6634, relres: 0.0186221, relerr: 0.0191509
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 54.3768, relres: 0.0185868, relerr: 0.0191729
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 51.5785, relres: 0.0187983, relerr: 0.0193978
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 500, t: 48.5243, relres: 0.0185694, relerr: 0.0191587
