Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 336, t: 3.39725, relres: 9.98888e-05, relerr: 0.00018155
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 322, t: 3.31382, relres: 9.93065e-05, relerr: 0.000185682
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 359, t: 3.67392, relres: 4.98151e-05, relerr: 9.64638e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 362, t: 3.74402, relres: 4.99849e-05, relerr: 9.85306e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 344, t: 3.58477, relres: 4.96323e-05, relerr: 9.43103e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 361, t: 3.74362, relres: 4.99668e-05, relerr: 9.13293e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 340, t: 3.56274, relres: 4.99852e-05, relerr: 0.000100478
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 362, t: 3.77339, relres: 4.98868e-05, relerr: 0.000104984
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 359, t: 3.62126, relres: 4.96992e-05, relerr: 9.44488e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 362, t: 3.64659, relres: 4.98579e-05, relerr: 9.25486e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 373, t: 3.83098, relres: 4.96972e-05, relerr: 9.24394e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 337, t: 3.39652, relres: 4.97806e-05, relerr: 8.79804e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 436, t: 4.38035, relres: 9.95542e-06, relerr: 1.86198e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 408, t: 4.09053, relres: 9.97803e-06, relerr: 1.91507e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 406, t: 4.06926, relres: 9.98696e-06, relerr: 1.68468e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 428, t: 4.36067, relres: 9.99935e-06, relerr: 1.94289e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 431, t: 4.42039, relres: 9.98657e-06, relerr: 1.9471e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 440, t: 4.48204, relres: 9.98829e-06, relerr: 2.04855e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 413, t: 4.19165, relres: 9.93367e-06, relerr: 1.87531e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 418, t: 4.27359, relres: 9.9754e-06, relerr: 1.81851e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 422, t: 4.2697, relres: 9.92665e-06, relerr: 1.85969e-05
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 423, t: 4.34876, relres: 9.98759e-06, relerr: 2.07383e-05
