GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.91551, relres: 0.000128487, relerr: 0.00017166
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.83495, relres: 0.000159581, relerr: 0.000214328
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.76577, relres: 0.000160465, relerr: 0.000209763
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 9.7203, relres: 0.00012883, relerr: 0.000163632
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.3437, relres: 6.29172e-05, relerr: 8.15724e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.1545, relres: 7.15087e-05, relerr: 9.72161e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.0325, relres: 6.80518e-05, relerr: 9.62466e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.1077, relres: 0.000190742, relerr: 0.00029712
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.1945, relres: 7.84839e-05, relerr: 0.000105292
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.0851, relres: 7.31191e-05, relerr: 9.86336e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.3791, relres: 7.80986e-05, relerr: 0.000109988
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.4579, relres: 7.16035e-05, relerr: 0.000102871
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.7543, relres: 9.15418e-05, relerr: 0.000123002
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 10.2639, relres: 8.72912e-05, relerr: 0.00012446
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.2281, relres: 1.37653e-05, relerr: 1.85287e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.308, relres: 1.42179e-05, relerr: 1.8356e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.1719, relres: 1.55642e-05, relerr: 2.25702e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.4041, relres: 3.39277e-05, relerr: 5.39139e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.2254, relres: 1.25506e-05, relerr: 1.68014e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.1878, relres: 2.41771e-05, relerr: 3.34396e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.3591, relres: 1.49256e-05, relerr: 1.96863e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.2935, relres: 1.94886e-05, relerr: 2.62343e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.1786, relres: 1.63878e-05, relerr: 2.46354e-05
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 10.2128, relres: 1.58582e-05, relerr: 2.34692e-05
