GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.15086, relres: 0.00154796, relerr: 0.00148352
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.22912, relres: 0.00144872, relerr: 0.00132163
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.18446, relres: 0.00152344, relerr: 0.0015931
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.21099, relres: 0.00168532, relerr: 0.00169345
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.25699, relres: 0.00147302, relerr: 0.00142571
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.20118, relres: 0.000458959, relerr: 0.000470876
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.2053, relres: 0.000460165, relerr: 0.000460603
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.20177, relres: 0.000464485, relerr: 0.000489517
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.17122, relres: 0.000439552, relerr: 0.000416266
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.20199, relres: 0.000468135, relerr: 0.000520462
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.20399, relres: 0.000500933, relerr: 0.000555446
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 1.99971, relres: 0.000454739, relerr: 0.000430335
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.20084, relres: 0.000484334, relerr: 0.000496738
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.18934, relres: 0.000388378, relerr: 0.000377195
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 2.18412, relres: 0.000554371, relerr: 0.000580915
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 2.18854, relres: 0.000288657, relerr: 0.00029555
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 2.26362, relres: 0.000218897, relerr: 0.000230424
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 2.30743, relres: 0.000256609, relerr: 0.000260335
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 3.0735, relres: 0.000196712, relerr: 0.000186056
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 2.58111, relres: 0.0002699, relerr: 0.000257546
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 4.4437, relres: 0.00025243, relerr: 0.000269158
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 3.26798, relres: 0.000337998, relerr: 0.000320069
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 3.20354, relres: 0.000248794, relerr: 0.000275317
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 3.38006, relres: 0.000338675, relerr: 0.000362898
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 2500, t: 3.03782, relres: 0.000280395, relerr: 0.00029352
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 3.55169, relres: 8.66795e-05, relerr: 9.2659e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 2.86895, relres: 4.84079e-05, relerr: 5.0237e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 3.51798, relres: 7.87628e-05, relerr: 8.0296e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 3.62252, relres: 8.33786e-05, relerr: 8.24958e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 2.96724, relres: 5.91575e-05, relerr: 6.32456e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 3.52377, relres: 5.9412e-05, relerr: 6.49589e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 3.23963, relres: 9.16955e-05, relerr: 9.46228e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 3.22761, relres: 6.75141e-05, relerr: 7.22068e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 2.29728, relres: 6.36202e-05, relerr: 6.19993e-05
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 2500, t: 2.27702, relres: 8.57668e-05, relerr: 8.79189e-05
