Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 74.0793, relres: 0.000284653, relerr: 0.000322183
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 74.935, relres: 0.00038498, relerr: 0.000430401
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 74.1038, relres: 0.000269688, relerr: 0.000293011
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 74.9073, relres: 0.000334449, relerr: 0.000392438
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 77.0243, relres: 0.000309705, relerr: 0.000365562
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 85.3346, relres: 0.000299001, relerr: 0.000336032
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 83.9756, relres: 0.000147172, relerr: 0.00015966
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 88.1069, relres: 0.00016129, relerr: 0.000187765
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 83.4639, relres: 0.000157389, relerr: 0.000177169
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 84.9411, relres: 0.000385914, relerr: 0.000474592
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 84.434, relres: 0.000172768, relerr: 0.000192713
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 85.5266, relres: 0.000149328, relerr: 0.000171117
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 85.5761, relres: 0.0001922, relerr: 0.000221539
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 87.075, relres: 0.000153677, relerr: 0.000182131
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 85.5289, relres: 0.000192072, relerr: 0.000213999
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 84.6961, relres: 0.000146382, relerr: 0.000181656
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 84.1332, relres: 2.71948e-05, relerr: 2.99797e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 84.8033, relres: 3.8473e-05, relerr: 4.19016e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 84.1998, relres: 3.47818e-05, relerr: 4.09506e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 85.4575, relres: 6.34752e-05, relerr: 7.8441e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 84.0694, relres: 2.52784e-05, relerr: 2.69519e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 84.9811, relres: 4.35545e-05, relerr: 5.0399e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 84.225, relres: 3.55557e-05, relerr: 3.81105e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 84.9579, relres: 4.54112e-05, relerr: 4.69533e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 84.1352, relres: 3.46657e-05, relerr: 3.97091e-05
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 85.1397, relres: 2.91608e-05, relerr: 3.38266e-05
