Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 344, t: 0.132412, relres: 4.99686e-05, relerr: 9.43157e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 342, t: 0.108021, relres: 4.96564e-05, relerr: 9.55828e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 435, t: 0.163805, relres: 9.92559e-06, relerr: 1.94934e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 452, t: 0.167997, relres: 9.94839e-06, relerr: 1.96035e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 394, t: 0.154405, relres: 9.97739e-06, relerr: 1.97983e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 404, t: 0.127896, relres: 9.96786e-06, relerr: 1.78599e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 474, t: 0.150951, relres: 9.94415e-06, relerr: 1.97322e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 405, t: 0.152389, relres: 9.98552e-06, relerr: 1.88504e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 418, t: 0.131294, relres: 9.99442e-06, relerr: 1.90587e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 432, t: 0.137172, relres: 9.95229e-06, relerr: 1.98726e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 411, t: 0.159922, relres: 9.93695e-06, relerr: 1.82681e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 544, t: 0.22183, relres: 9.93882e-06, relerr: 1.64586e-05
