Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.478, relres: 0.130002, relerr: 1.46206
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4987, relres: 0.118064, relerr: 1.40224
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4584, relres: 0.134473, relerr: 1.36974
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4217, relres: 0.102271, relerr: 1.35077
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4685, relres: 0.10679, relerr: 1.2697
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4726, relres: 0.127907, relerr: 1.30535
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.445, relres: 0.115229, relerr: 1.55473
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4349, relres: 0.138581, relerr: 1.39563
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4856, relres: 0.0988755, relerr: 1.11912
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3899, relres: 0.0938414, relerr: 1.17804
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.5149, relres: 0.116654, relerr: 1.512
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4357, relres: 0.11458, relerr: 1.40106
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.5007, relres: 0.138714, relerr: 1.51312
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4951, relres: 0.134125, relerr: 1.39749
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4025, relres: 0.0898893, relerr: 1.08077
