Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.55932, relres: 0.0387138, relerr: 1.0095
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.53567, relres: 0.0523986, relerr: 1.27579
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.67872, relres: 0.0386409, relerr: 1.06906
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.5008, relres: 0.0417022, relerr: 1.25661
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.60224, relres: 0.0431047, relerr: 1.27301
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.92467, relres: 0.059712, relerr: 0.996388
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.32953, relres: 0.0761948, relerr: 1.39784
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.17789, relres: 0.0740827, relerr: 1.35958
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.28618, relres: 0.0772656, relerr: 1.43473
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 5.91895, relres: 0.0629066, relerr: 1.10458
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.38078, relres: 0.0748682, relerr: 1.26569
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 5.98089, relres: 0.0693168, relerr: 1.36705
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.38147, relres: 0.0633529, relerr: 1.16739
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.10519, relres: 0.0650827, relerr: 1.1943
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.31242, relres: 0.0656243, relerr: 1.15132
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 6.49603, relres: 0.0722253, relerr: 1.13966
