Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.0143, relres: 0.117627, relerr: 1.46043
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 13.0316, relres: 0.0982253, relerr: 1.50249
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.053, relres: 0.106802, relerr: 1.58792
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.9286, relres: 0.113644, relerr: 1.46433
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.7837, relres: 0.107069, relerr: 1.39057
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.2164, relres: 0.0931304, relerr: 1.35582
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.2423, relres: 0.0903248, relerr: 1.5049
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.2881, relres: 0.0910603, relerr: 1.44098
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.0894, relres: 0.103175, relerr: 1.49673
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.4945, relres: 0.087415, relerr: 1.48
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.8286, relres: 0.0862696, relerr: 1.39803
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.6521, relres: 0.0907732, relerr: 1.51618
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.3277, relres: 0.0869405, relerr: 1.55903
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.3582, relres: 0.105766, relerr: 1.56963
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.2959, relres: 0.111933, relerr: 1.55247
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.3454, relres: 0.0885836, relerr: 1.56948
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.9676, relres: 0.0993342, relerr: 1.46356
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.1818, relres: 0.0774924, relerr: 1.4634
