Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.67486, relres: 0.355877, relerr: 0.653207
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.66496, relres: 0.369232, relerr: 0.597229
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.66027, relres: 0.281125, relerr: 0.0832517
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.66059, relres: 0.392932, relerr: 1.47992
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.70168, relres: 0.333303, relerr: 0.0780427
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.65041, relres: 0.551534, relerr: 0.208528
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.73694, relres: 0.350096, relerr: 1.2135
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.65764, relres: 0.435944, relerr: 0.0833969
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.64899, relres: 0.192834, relerr: 0.129745
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.70952, relres: 0.409622, relerr: 0.0806694
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.68264, relres: 0.341892, relerr: 0.778514
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.63689, relres: 0.346368, relerr: 0.816003
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.69583, relres: 0.344814, relerr: 0.0811386
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.6035, relres: 0.305521, relerr: 0.222112
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.63443, relres: 0.24208, relerr: 0.0858976
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.63004, relres: 0.340164, relerr: 0.0838968
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.66562, relres: 0.379529, relerr: 0.614724
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.65983, relres: 0.286543, relerr: 0.389123
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.70394, relres: 0.219248, relerr: 0.0574513
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.64202, relres: 0.348534, relerr: 0.431743
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.64778, relres: 0.426528, relerr: 1.18235
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.67152, relres: 0.490352, relerr: 1.06757
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.70629, relres: 0.630351, relerr: 0.217069
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.6785, relres: 0.313257, relerr: 0.100798
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.7067, relres: 0.443187, relerr: 0.955858
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.63897, relres: 0.284859, relerr: 0.376196
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.70278, relres: 0.280372, relerr: 0.101304
