GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.01411, relres: 0.690895, relerr: 1.41843
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 0.973053, relres: 0.701067, relerr: 1.39678
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.02422, relres: 0.644354, relerr: 1.44521
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.03614, relres: 0.704525, relerr: 1.39456
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.03624, relres: 0.677302, relerr: 1.4599
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.00769, relres: 0.670236, relerr: 1.39904
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.00671, relres: 0.643894, relerr: 1.41753
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.0015, relres: 0.626756, relerr: 1.45506
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.06878, relres: 0.635866, relerr: 1.29452
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.0567, relres: 0.652182, relerr: 1.33841
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.06215, relres: 0.700936, relerr: 1.39278
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.05756, relres: 0.595097, relerr: 1.25093
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.03887, relres: 0.68612, relerr: 1.35228
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.12459, relres: 0.670403, relerr: 1.3615
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.00859, relres: 0.697138, relerr: 1.25983
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.07491, relres: 0.69025, relerr: 1.37181
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.03603, relres: 0.621522, relerr: 1.43439
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.00201, relres: 0.680014, relerr: 1.44603
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.0628, relres: 0.695696, relerr: 1.35573
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.0754, relres: 0.643821, relerr: 1.40966
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.03426, relres: 0.673052, relerr: 1.39335
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 0.980817, relres: 0.664024, relerr: 1.42698
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.04887, relres: 0.620837, relerr: 1.37858
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.04967, relres: 0.706088, relerr: 1.51291
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.04015, relres: 0.615195, relerr: 1.23183
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.04054, relres: 0.725163, relerr: 1.33891
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.05123, relres: 0.682415, relerr: 1.39661
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.04562, relres: 0.634023, relerr: 1.42023
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.0471, relres: 0.671326, relerr: 1.33406
