Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.456, relres: 0.94248, relerr: 1.66679
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4228, relres: 0.858131, relerr: 1.67601
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 63, t: 2.59317, relres: 4.13461e-08, relerr: 6.42094e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 136, t: 5.46448, relres: 3.00457e-08, relerr: 4.05042e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3733, relres: 0.850631, relerr: 1.45255
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 286, t: 11.1528, relres: 2.79442e-08, relerr: 3.95554e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3163, relres: 0.680801, relerr: 1.45349
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4241, relres: 0.762161, relerr: 1.32992
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 191, t: 7.47136, relres: 3.30221e-08, relerr: 4.42872e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4723, relres: 1.02991, relerr: 1.49085
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.2893, relres: 0.966308, relerr: 1.35257
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4177, relres: 0.880737, relerr: 1.5491
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3941, relres: 0.827771, relerr: 1.5311
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.5305, relres: 0.830667, relerr: 1.69969
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3443, relres: 0.812841, relerr: 1.69442
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4638, relres: 1.03143, relerr: 1.69884
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.276, relres: 0.485221, relerr: 0.699117
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 177, t: 7.01164, relres: 2.04317e-08, relerr: 3.01567e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3386, relres: 0.782954, relerr: 1.64717
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 161, t: 6.42263, relres: 3.53833e-08, relerr: 4.84084e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 70, t: 2.78669, relres: 2.29076e-08, relerr: 3.38047e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.595, relres: 0.413161, relerr: 0.647354
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3379, relres: 0.0227672, relerr: 0.0295955
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4581, relres: 0.820832, relerr: 1.58256
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 143, t: 5.76266, relres: 3.36036e-08, relerr: 4.91124e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 85, t: 3.40512, relres: 2.60256e-08, relerr: 4.36655e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 620, iter: 133, t: 5.92005, relres: 2.54825e-08, relerr: 3.5113e-08
