Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 51, t: 1.07002, relres: 1.35964e-10, relerr: 2.04258e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.24076, relres: 0.595642, relerr: 1.47156
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.85227, relres: 0.613897, relerr: 1.4942
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.29549, relres: 0.570385, relerr: 1.14159
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.11073, relres: 0.590911, relerr: 1.53456
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.25483, relres: 0.595169, relerr: 1.39973
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.85387, relres: 0.636374, relerr: 1.42611
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.74497, relres: 0.55874, relerr: 1.42606
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 40, t: 0.873973, relres: 2.04166e-09, relerr: 3.31271e-09
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.48238, relres: 0.675413, relerr: 1.54289
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.06733, relres: 0.582753, relerr: 1.46028
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.42327, relres: 0.623655, relerr: 1.33014
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.91757, relres: 0.491892, relerr: 1.00516
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.69749, relres: 0.627587, relerr: 1.4444
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.99076, relres: 0.601372, relerr: 1.16767
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.72397, relres: 0.546763, relerr: 1.09671
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.18649, relres: 0.616799, relerr: 1.33024
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.79454, relres: 0.571991, relerr: 1.03838
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.16598, relres: 0.636374, relerr: 1.48826
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.24013, relres: 0.623213, relerr: 1.28985
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.12668, relres: 0.551111, relerr: 1.34208
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.26567, relres: 0.60432, relerr: 1.27043
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.13728, relres: 0.60066, relerr: 1.4682
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.6972, relres: 0.567991, relerr: 1.38989
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.0358, relres: 0.60554, relerr: 1.32391
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.48943, relres: 0.658298, relerr: 1.37724
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 42, t: 0.788344, relres: 2.12915e-09, relerr: 2.98752e-09
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.40772, relres: 0.520561, relerr: 1.16657
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.0749, relres: 0.587018, relerr: 1.22349
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 36, t: 0.715299, relres: 4.95264e-10, relerr: 7.12598e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.02529, relres: 0.564114, relerr: 1.01293
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.87413, relres: 0.63367, relerr: 1.4296
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.32611, relres: 0.666086, relerr: 1.49878
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.39511, relres: 0.593751, relerr: 1.47994
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 674, iter: 500, t: 9.51073, relres: 0.601875, relerr: 1.28084
