GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.07829, relres: 0.533767, relerr: 0.861409
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.11353, relres: 0.753941, relerr: 1.03192
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.05632, relres: 0.456674, relerr: 0.801332
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.13992, relres: 0.475373, relerr: 0.844718
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09809, relres: 0.680839, relerr: 1.12044
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09919, relres: 0.628145, relerr: 0.980371
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.05996, relres: 0.575379, relerr: 0.926827
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09928, relres: 0.653582, relerr: 1.06365
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.13622, relres: 0.589468, relerr: 0.98329
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.07651, relres: 0.487456, relerr: 0.733193
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.09915, relres: 0.501193, relerr: 0.817575
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.14658, relres: 0.663255, relerr: 1.03004
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.09451, relres: 0.541626, relerr: 0.81594
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.06693, relres: 0.592533, relerr: 1.0211
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.03999, relres: 0.756813, relerr: 0.983444
GerSax -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.0416, relres: 0.818189, relerr: 1.14183
