GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 19.9338, relres: 0.105534, relerr: 1.36296
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 18.7987, relres: 0.0778302, relerr: 1.3058
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 20.1509, relres: 0.081357, relerr: 1.30463
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 19.9675, relres: 0.107176, relerr: 1.16866
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.6713, relres: 0.0911605, relerr: 1.26835
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.3064, relres: 0.0813689, relerr: 1.12107
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 25.7948, relres: 0.0834689, relerr: 1.34062
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 28.3103, relres: 0.0809532, relerr: 1.15037
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 29.4915, relres: 0.0784424, relerr: 0.984788
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 26.9312, relres: 0.0934722, relerr: 1.0569
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 27.9602, relres: 0.0926323, relerr: 1.31013
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 27.9669, relres: 0.0941864, relerr: 1.28512
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 28.5212, relres: 0.0995762, relerr: 1.15462
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 29.0584, relres: 0.0938476, relerr: 1.4727
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.5816, relres: 0.0887003, relerr: 1.15372
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 22.1045, relres: 0.0901329, relerr: 1.23938
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 21.9215, relres: 0.0987813, relerr: 1.18614
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 24.4021, relres: 0.0888281, relerr: 1.10271
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 26.3939, relres: 0.0765599, relerr: 1.05318
