Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 28, t: 0.716131, relres: 4.15268e-08, relerr: 7.45854e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 28, t: 0.740943, relres: 2.77775e-08, relerr: 4.36366e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.65323, relres: 0.641426, relerr: 1.04415
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 39, t: 1.06739, relres: 2.54157e-08, relerr: 3.94453e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.61284, relres: 0.501705, relerr: 0.914802
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 48, t: 1.27822, relres: 2.32577e-08, relerr: 3.15525e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 30, t: 0.873088, relres: 3.61852e-08, relerr: 5.77473e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.69665, relres: 0.576108, relerr: 1.39185
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.72833, relres: 0.406409, relerr: 0.73341
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.69906, relres: 0.466126, relerr: 0.881212
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.76105, relres: 0.567601, relerr: 1.16665
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 40, t: 1.10558, relres: 3.91198e-08, relerr: 6.98926e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 27, t: 0.812064, relres: 2.30014e-08, relerr: 3.46599e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 25, t: 0.726509, relres: 2.144e-08, relerr: 3.32336e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 183, t: 5.11771, relres: 3.56846e-08, relerr: 4.73229e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 27, t: 0.774797, relres: 3.54084e-08, relerr: 5.7078e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 35, t: 1.01163, relres: 3.09511e-08, relerr: 4.34044e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 8.33584, relres: 0.382476, relerr: 0.541468
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 8.31309, relres: 0.657488, relerr: 1.19657
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 27, t: 0.859382, relres: 1.93612e-08, relerr: 2.86801e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 24, t: 0.717572, relres: 2.41111e-08, relerr: 3.10592e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 25, t: 0.749948, relres: 3.19163e-08, relerr: 4.44266e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 37, t: 1.14901, relres: 2.02451e-08, relerr: 3.26926e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 8.47376, relres: 0.471344, relerr: 0.698396
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 31, t: 0.914575, relres: 2.19651e-08, relerr: 3.30106e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 28, t: 0.815687, relres: 2.23649e-08, relerr: 3.2302e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 24, t: 0.698091, relres: 1.95e-08, relerr: 3.2276e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 27, t: 0.785578, relres: 3.04647e-08, relerr: 4.81819e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 41, t: 1.16778, relres: 2.40843e-08, relerr: 3.1242e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 25, t: 0.707081, relres: 2.46092e-08, relerr: 3.70121e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 27, t: 0.79745, relres: 1.7196e-08, relerr: 2.40131e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 41, t: 1.18133, relres: 3.32285e-08, relerr: 5.21903e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 36, t: 1.06913, relres: 2.89817e-08, relerr: 4.02036e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 44, t: 1.28911, relres: 2.50145e-08, relerr: 3.61256e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 28, t: 0.856351, relres: 2.97677e-08, relerr: 4.28058e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 8.29372, relres: 0.699969, relerr: 1.40618
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 51, t: 1.45027, relres: 2.66529e-08, relerr: 3.85776e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 26, t: 0.759337, relres: 3.50638e-08, relerr: 4.911e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 8.35539, relres: 0.699594, relerr: 1.34037
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 24, t: 0.697461, relres: 3.12687e-08, relerr: 4.93606e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 34, t: 0.986714, relres: 2.54653e-08, relerr: 3.90308e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 27, t: 0.782979, relres: 1.95805e-08, relerr: 3.42762e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 34, t: 1.00649, relres: 1.5883e-08, relerr: 2.48841e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 32, t: 0.9169, relres: 2.9991e-08, relerr: 4.20797e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 25, t: 0.726822, relres: 2.78382e-08, relerr: 4.19833e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 71, t: 2.07099, relres: 3.35728e-08, relerr: 5.04942e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 23, t: 0.673686, relres: 3.58886e-08, relerr: 5.30264e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 25, t: 0.730591, relres: 2.81466e-08, relerr: 4.06081e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 32, t: 0.938802, relres: 2.30934e-08, relerr: 3.28345e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 40, t: 1.14512, relres: 2.16439e-08, relerr: 3.11015e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 42, t: 1.20995, relres: 2.07073e-08, relerr: 2.9023e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 8.4532, relres: 0.584452, relerr: 0.939061
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 28, t: 0.838619, relres: 2.19938e-08, relerr: 3.00961e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 45, t: 1.31055, relres: 2.35348e-08, relerr: 3.01051e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 24, t: 0.709659, relres: 3.21277e-08, relerr: 4.60193e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 8.60029, relres: 0.4944, relerr: 1.08908
