Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 46, t: 0.910724, relres: 3.75955e-10, relerr: 7.40833e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.68442, relres: 0.442483, relerr: 0.715269
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 56, t: 0.879729, relres: 9.62707e-11, relerr: 1.71991e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.99348, relres: 0.390255, relerr: 0.79536
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.65242, relres: 0.326026, relerr: 0.6211
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.74839, relres: 0.570154, relerr: 1.37633
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 49, t: 0.78132, relres: 3.8117e-10, relerr: 6.84773e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.04008, relres: 0.547035, relerr: 1.13932
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.59112, relres: 0.540505, relerr: 1.10219
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.64514, relres: 0.441036, relerr: 0.761739
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.1965, relres: 0.528396, relerr: 1.19972
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.00668, relres: 0.461559, relerr: 1.00431
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.59717, relres: 0.505191, relerr: 1.02262
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.17602, relres: 0.364014, relerr: 0.832358
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 49, t: 0.77583, relres: 5.054e-10, relerr: 8.36341e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 47, t: 0.841226, relres: 2.3772e-09, relerr: 4.46284e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.59926, relres: 0.595519, relerr: 1.16433
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 48, t: 0.885889, relres: 7.37342e-10, relerr: 1.15611e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.6437, relres: 0.51335, relerr: 1.20575
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.59758, relres: 0.539977, relerr: 1.16634
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.26043, relres: 0.376881, relerr: 0.790893
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 49, t: 0.837464, relres: 5.65848e-10, relerr: 9.11474e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 43, t: 0.680365, relres: 9.78829e-10, relerr: 1.7878e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 57, t: 0.991059, relres: 3.91724e-11, relerr: 5.74583e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 43, t: 0.847502, relres: 1.73928e-09, relerr: 2.60519e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.2904, relres: 0.423136, relerr: 1.01839
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.65652, relres: 0.383167, relerr: 0.656204
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 46, t: 0.993433, relres: 5.55257e-10, relerr: 9.74838e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.43249, relres: 0.501764, relerr: 1.12093
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.81628, relres: 0.336705, relerr: 0.577561
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 51, t: 0.994725, relres: 1.49989e-09, relerr: 2.80903e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 46, t: 0.810224, relres: 8.01559e-10, relerr: 1.3607e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 40, t: 0.628108, relres: 5.58686e-09, relerr: 1.0255e-08
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 38, t: 0.814603, relres: 1.25021e-09, relerr: 1.96469e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 37, t: 0.775408, relres: 1.01059e-09, relerr: 1.80305e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 6.33525, relres: 0.574451, relerr: 1.17479
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 36, t: 0.636492, relres: 5.4485e-10, relerr: 8.79923e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 43, t: 0.811742, relres: 4.34595e-10, relerr: 6.69013e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 5.04967, relres: 0.455849, relerr: 0.900663
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 5.75276, relres: 0.653042, relerr: 1.39562
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 41, t: 0.793008, relres: 6.63132e-11, relerr: 1.01985e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 40, t: 0.844945, relres: 1.12978e-10, relerr: 1.55275e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 42, t: 0.885632, relres: 1.21113e-09, relerr: 1.61205e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 40, t: 0.929526, relres: 2.52411e-10, relerr: 4.04014e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 40, t: 0.822943, relres: 4.87205e-10, relerr: 7.09902e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 44, t: 0.817754, relres: 1.12285e-10, relerr: 1.697e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 5.45105, relres: 0.380717, relerr: 0.716694
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 36, t: 0.665139, relres: 1.54145e-09, relerr: 2.39216e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 32, t: 0.550471, relres: 1.06799e-09, relerr: 1.69405e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 40, t: 0.744359, relres: 9.94504e-10, relerr: 1.49231e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 35, t: 0.601456, relres: 1.1254e-09, relerr: 1.72704e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 32, t: 0.608798, relres: 1.98983e-09, relerr: 3.12511e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 41, t: 0.803599, relres: 4.85372e-11, relerr: 8.25149e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 47, t: 1.01426, relres: 1.1278e-11, relerr: 1.66277e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 5.10866, relres: 0.353068, relerr: 0.682419
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 41, t: 0.901665, relres: 3.96136e-10, relerr: 5.82788e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 300, t: 5.04734, relres: 0.617264, relerr: 1.39609
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 44, t: 0.824834, relres: 3.77107e-11, relerr: 5.26242e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 46, t: 0.78536, relres: 3.51977e-10, relerr: 5.45684e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 41, t: 0.753124, relres: 3.87939e-10, relerr: 6.21325e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 38, t: 0.678804, relres: 6.54003e-10, relerr: 1.05851e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 42, t: 0.788932, relres: 1.67363e-10, relerr: 2.80573e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 620, iter: 38, t: 0.784042, relres: 9.30338e-11, relerr: 1.60316e-10
