Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.90681, relres: 0.0896506, relerr: 1.17825
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.22348, relres: 0.0736637, relerr: 1.15731
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.54949, relres: 0.0922011, relerr: 1.4589
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.66091, relres: 0.0990152, relerr: 1.22631
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.93272, relres: 0.0608601, relerr: 1.08531
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.57961, relres: 0.0804855, relerr: 1.08905
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.97112, relres: 0.0963724, relerr: 1.38586
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.59816, relres: 0.0934167, relerr: 1.42382
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.99958, relres: 0.101515, relerr: 1.38573
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.60631, relres: 0.0935349, relerr: 1.41899
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.55756, relres: 0.0666613, relerr: 0.952844
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.56348, relres: 0.0792485, relerr: 1.01299
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.72934, relres: 0.0898098, relerr: 1.26019
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.54017, relres: 0.0839986, relerr: 1.44369
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.61213, relres: 0.0969799, relerr: 1.22079
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.33724, relres: 0.100108, relerr: 1.15862
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.89205, relres: 0.0713099, relerr: 0.912509
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.17343, relres: 0.0687466, relerr: 1.08302
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.64585, relres: 0.0921441, relerr: 1.37837
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.17862, relres: 0.0993491, relerr: 1.20279
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.89697, relres: 0.0932405, relerr: 1.40136
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.47025, relres: 0.0877678, relerr: 0.940726
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.5559, relres: 0.0596345, relerr: 1.09553
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.68804, relres: 0.0900332, relerr: 1.43052
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.94818, relres: 0.114308, relerr: 1.22777
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.20599, relres: 0.0937585, relerr: 1.36471
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.76049, relres: 0.0853945, relerr: 1.08605
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.56019, relres: 0.108265, relerr: 1.21709
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.94625, relres: 0.100649, relerr: 1.20541
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.55094, relres: 0.0655435, relerr: 1.21608
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.93442, relres: 0.0962358, relerr: 1.25302
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.14854, relres: 0.123941, relerr: 1.13308
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.25906, relres: 0.166573, relerr: 1.50484
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 7.78152, relres: 0.137487, relerr: 1.28385
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.49098, relres: 0.152738, relerr: 1.36986
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.12767, relres: 0.14727, relerr: 1.1921
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.33754, relres: 0.142999, relerr: 1.34242
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 7.62487, relres: 0.146809, relerr: 1.15618
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 8.33192, relres: 0.153976, relerr: 1.23172
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 7.75265, relres: 0.130895, relerr: 1.25416
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 620, iter: 300, t: 9.25659, relres: 0.111778, relerr: 1.20047
