GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 17.278, relres: 0.159889, relerr: 1.41528
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 17.6575, relres: 0.178772, relerr: 1.44283
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 18.6818, relres: 0.162817, relerr: 1.51071
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 17.8059, relres: 0.21476, relerr: 1.30535
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 18.5382, relres: 0.163798, relerr: 1.32986
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 16.7754, relres: 0.180324, relerr: 1.37857
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 19.0117, relres: 0.159867, relerr: 1.18208
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 19.0189, relres: 0.173529, relerr: 1.38274
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 19.0413, relres: 0.162647, relerr: 1.3719
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 18.6308, relres: 0.182855, relerr: 1.48721
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 18.1728, relres: 0.187536, relerr: 1.44395
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 18.0953, relres: 0.163424, relerr: 1.37947
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 18.5963, relres: 0.172786, relerr: 1.57217
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 16.5892, relres: 0.167847, relerr: 1.39612
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 17.5004, relres: 0.181119, relerr: 1.46351
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 16.051, relres: 0.187069, relerr: 1.49412
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 18.4845, relres: 0.179858, relerr: 1.27397
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 17.979, relres: 0.174149, relerr: 1.43992
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 16.6131, relres: 0.178023, relerr: 1.48852
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 16.6284, relres: 0.179978, relerr: 1.32331
GerSax -> gaussian, complex, rand_init, n: 256, m: 728, iter: 2500, t: 18.687, relres: 0.170148, relerr: 1.53109
